date:2020-05-15,ticker:DAL,open:18.97,close:19.19,adj_close:18.7918,shares:637825984
date:2020-05-14,ticker:DAL,open:18.8,close:19.38,adj_close:18.9778,shares:637825984
date:2020-05-13,ticker:DAL,open:20.97,close:19.41,adj_close:19.0072,shares:637825984
date:2020-05-06,ticker:DAL,open:21.76,close:21.0,adj_close:20.5642,shares:637825984
date:2020-05-12,ticker:DAL,open:22.1,close:21.03,adj_close:20.5936,shares:637825984
date:2020-03-20,ticker:DAL,open:23.17,close:21.35,adj_close:20.9069,shares:640094016
date:2020-03-19,ticker:DAL,open:23.36,close:21.51,adj_close:21.0636,shares:640094016
date:2020-05-07,ticker:DAL,open:21.07,close:21.68,adj_close:21.2301,shares:637825984
date:2020-05-05,ticker:DAL,open:23.02,close:21.71,adj_close:21.2595,shares:637825984
date:2020-05-19,ticker:DAL,open:22.57,close:21.76,adj_close:21.3084,shares:637825984
date:2020-05-18,ticker:DAL,open:20.91,close:21.86,adj_close:21.4063,shares:637825984
date:2020-05-11,ticker:DAL,open:22.1,close:22.01,adj_close:21.5532,shares:637825984
date:2020-04-27,ticker:DAL,open:22.83,close:22.16,adj_close:21.7001,shares:637836032
date:2020-03-23,ticker:DAL,open:22.17,close:22.22,adj_close:21.7589,shares:640094016
date:2020-04-07,ticker:DAL,open:25.21,close:22.25,adj_close:21.7883,shares:640094016
date:2020-04-06,ticker:DAL,open:22.31,close:22.32,adj_close:21.8568,shares:640094016
date:2020-04-24,ticker:DAL,open:22.53,close:22.41,adj_close:21.9449,shares:637836032
date:2020-04-22,ticker:DAL,open:23.88,close:22.47,adj_close:22.0037,shares:640094016
date:2020-04-03,ticker:DAL,open:23.03,close:22.48,adj_close:22.0135,shares:640094016
date:2020-04-23,ticker:DAL,open:22.65,close:22.48,adj_close:22.0135,shares:640094016
date:2020-05-04,ticker:DAL,open:21.19,close:22.57,adj_close:22.1016,shares:637825984
date:2020-04-02,ticker:DAL,open:23.92,close:22.68,adj_close:22.2093,shares:640094016
date:2020-05-22,ticker:DAL,open:23.24,close:22.69,adj_close:22.2191,shares:637825984
date:2020-05-08,ticker:DAL,open:22.36,close:22.72,adj_close:22.2485,shares:637825984
date:2020-05-20,ticker:DAL,open:22.34,close:22.72,adj_close:22.2485,shares:637825984
date:2020-04-16,ticker:DAL,open:23.76,close:22.78,adj_close:22.3073,shares:640094016
date:2020-04-21,ticker:DAL,open:23.02,close:23.1,adj_close:22.6206,shares:640094016
date:2020-05-21,ticker:DAL,open:22.77,close:23.16,adj_close:22.6794,shares:637825984
date:2020-04-08,ticker:DAL,open:23.09,close:23.23,adj_close:22.7479,shares:640094016
date:2020-04-13,ticker:DAL,open:24.98,close:23.25,adj_close:22.7675,shares:640094016
date:2020-03-18,ticker:DAL,open:29.79,close:23.49,adj_close:23.0025,shares:640094016
date:2020-04-20,ticker:DAL,open:23.44,close:23.64,adj_close:23.1494,shares:640094016
date:2020-04-01,ticker:DAL,open:26.59,close:23.87,adj_close:23.3746,shares:640094016
date:2020-05-01,ticker:DAL,open:24.95,close:24.12,adj_close:23.6194,shares:637825984
date:2020-04-17,ticker:DAL,open:24.15,close:24.27,adj_close:23.7663,shares:640094016
date:2020-04-28,ticker:DAL,open:23.0,close:24.34,adj_close:23.8349,shares:637836032
date:2020-04-15,ticker:DAL,open:24.91,close:24.35,adj_close:23.8447,shares:640094016
date:2020-04-09,ticker:DAL,open:25.4,close:24.39,adj_close:23.8838,shares:640094016
date:2020-04-14,ticker:DAL,open:23.99,close:24.54,adj_close:24.0307,shares:640094016
date:2020-07-30,ticker:DAL,open:25.25,close:24.94,adj_close:24.4224,shares:637857024
date:2020-07-31,ticker:DAL,open:24.8,close:24.97,adj_close:24.4518,shares:637857024
date:2020-08-03,ticker:DAL,open:24.85,close:25.2,adj_close:24.677,shares:637857024
date:2020-05-29,ticker:DAL,open:24.62,close:25.21,adj_close:24.6868,shares:637825984
