date:2015-01-15,ticker:META,open:76.4,close:74.05,adj_close:73.7026,shares:
date:2015-02-09,ticker:META,open:74.05,close:74.44,adj_close:74.0908,shares:
date:2015-02-06,ticker:META,open:75.68,close:74.47,adj_close:74.1207,shares:
date:2015-02-02,ticker:META,open:76.11,close:74.99,adj_close:74.6382,shares:
date:2015-01-16,ticker:META,open:74.04,close:75.18,adj_close:74.8273,shares:
date:2015-02-10,ticker:META,open:74.85,close:75.19,adj_close:74.8373,shares:
date:2015-02-03,ticker:META,open:75.19,close:75.4,adj_close:75.0463,shares:
date:2015-02-17,ticker:META,open:75.3,close:75.6,adj_close:75.2454,shares:
date:2015-02-05,ticker:META,open:75.71,close:75.61,adj_close:75.2553,shares:
date:2015-02-04,ticker:META,open:75.09,close:75.63,adj_close:75.2752,shares:
date:2015-02-13,ticker:META,open:76.46,close:75.74,adj_close:75.3847,shares:
date:2015-01-27,ticker:META,open:76.71,close:75.78,adj_close:75.4245,shares:
date:2015-01-30,ticker:META,open:78.0,close:75.91,adj_close:75.5539,shares:
date:2015-01-06,ticker:META,open:77.23,close:76.15,adj_close:       ,shares:
date:2015-01-07,ticker:META,open:76.76,close:76.15,adj_close:       ,shares:
date:2015-02-12,ticker:META,open:76.86,close:76.23,adj_close:75.8724,shares:
date:2015-01-20,ticker:META,open:75.72,close:76.24,adj_close:75.8824,shares:
date:2015-01-28,ticker:META,open:76.9,close:76.24,adj_close:75.8824,shares:
date:2015-01-14,ticker:META,open:76.42,close:76.28,adj_close:75.9222,shares:
date:2015-01-13,ticker:META,open:77.23,close:76.45,adj_close:76.0914,shares:
date:2015-02-11,ticker:META,open:75.09,close:76.51,adj_close:76.1511,shares:
date:2015-02-18,ticker:META,open:75.94,close:76.71,adj_close:76.3502,shares:
date:2015-01-12,ticker:META,open:77.84,close:76.72,adj_close:76.3601,shares:
date:2015-01-21,ticker:META,open:76.16,close:76.74,adj_close:76.38,shares:
date:2015-01-05,ticker:META,open:77.98,close:77.19,adj_close:76.8279,shares:
date:2015-05-12,ticker:META,open:77.87,close:77.46,adj_close:77.0966,shares:
date:2015-01-26,ticker:META,open:77.98,close:77.5,adj_close:77.1365,shares:
date:2015-03-10,ticker:META,open:78.5,close:77.55,adj_close:77.1862,shares:
date:2015-05-05,ticker:META,open:78.55,close:77.56,adj_close:77.1962,shares:
date:2015-03-11,ticker:META,open:77.8,close:77.57,adj_close:77.2061,shares:
date:2015-01-22,ticker:META,open:77.17,close:77.65,adj_close:77.2858,shares:
date:2015-01-09,ticker:META,open:78.2,close:77.74,adj_close:77.3753,shares:
date:2015-01-23,ticker:META,open:77.65,close:77.83,adj_close:77.4649,shares:
date:2015-01-29,ticker:META,open:76.85,close:78.0,adj_close:77.6341,shares:
date:2015-05-11,ticker:META,open:78.48,close:78.01,adj_close:77.6441,shares:
date:2015-03-13,ticker:META,open:78.6,close:78.05,adj_close:77.6839,shares:
date:2015-03-16,ticker:META,open:77.96,close:78.07,adj_close:77.7038,shares:
date:2015-05-06,ticker:META,open:77.97,close:78.1,adj_close:77.7336,shares:
date:2015-01-08,ticker:META,open:76.74,close:78.18,adj_close:77.8133,shares:
date:2015-05-07,ticker:META,open:78.0,close:78.43,adj_close:78.0621,shares:
date:2015-05-13,ticker:META,open:77.72,close:78.44,adj_close:78.072,shares:
date:2015-01-02,ticker:META,open:78.58,close:78.45,adj_close:78.082,shares:
date:2015-02-24,ticker:META,open:78.5,close:78.45,adj_close:78.082,shares:
date:2015-05-08,ticker:META,open:79.1,close:78.51,adj_close:78.1417,shares:
date:2015-04-30,ticker:META,open:80.01,close:78.77,adj_close:78.4005,shares:
date:2015-05-04,ticker:META,open:79.33,close:78.81,adj_close:78.4403,shares:
date:2015-02-23,ticker:META,open:79.96,close:78.84,adj_close:78.4702,shares:
date:2015-03-12,ticker:META,open:78.1,close:78.93,adj_close:78.5597,shares:
date:2015-02-27,ticker:META,open:80.68,close:78.97,adj_close:78.5996,shares:
date:2015-05-01,ticker:META,open:79.24,close:78.99,adj_close:78.6195,shares:
date:2015-05-29,ticker:META,open:79.95,close:79.19,adj_close:78.8185,shares:
date:2015-05-26,ticker:META,open:80.43,close:79.33,adj_close:78.9579,shares:
date:2015-03-17,ticker:META,open:78.36,close:79.36,adj_close:78.9877,shares:
