date:2015-01-02,ticker:AAL,open:54.28,close:53.91,adj_close:51.0799,shares:
date:2015-01-05,ticker:AAL,open:54.37,close:53.88,adj_close:51.0515,shares:
date:2015-01-06,ticker:AAL,open:54.27,close:53.04,adj_close:50.2556,shares:
date:2015-01-07,ticker:AAL,open:53.38,close:53.01,adj_close:50.2272,shares:
date:2015-01-08,ticker:AAL,open:53.48,close:53.66,adj_close:50.843,shares:
date:2015-01-09,ticker:AAL,open:53.67,close:52.02,adj_close:49.2891,shares:
date:2015-01-12,ticker:AAL,open:51.06,close:49.58,adj_close:46.9772,shares:
date:2015-01-13,ticker:AAL,open:50.12,close:50.4,adj_close:47.7542,shares:
date:2015-01-14,ticker:AAL,open:49.41,close:49.41,adj_close:46.8161,shares:
date:2015-01-15,ticker:AAL,open:49.14,close:49.41,adj_close:46.8161,shares:
date:2015-01-16,ticker:AAL,open:49.38,close:49.81,adj_close:47.1951,shares:
date:2015-01-20,ticker:AAL,open:51.0,close:52.75,adj_close:49.9808,shares:
date:2015-01-21,ticker:AAL,open:52.65,close:53.67,adj_close:50.8525,shares:
date:2015-01-22,ticker:AAL,open:54.52,close:55.59,adj_close:52.6717,shares:
date:2015-01-23,ticker:AAL,open:55.4,close:55.69,adj_close:52.7665,shares:
date:2015-01-26,ticker:AAL,open:55.89,close:55.45,adj_close:52.5391,shares:
date:2015-01-27,ticker:AAL,open:53.99,close:52.7,adj_close:49.9334,shares:
date:2015-01-28,ticker:AAL,open:52.79,close:50.62,adj_close:47.9626,shares:
date:2015-01-29,ticker:AAL,open:51.05,close:52.24,adj_close:49.4976,shares:
date:2015-01-30,ticker:AAL,open:52.02,close:49.08,adj_close:46.5035,shares:
date:2015-02-02,ticker:AAL,open:48.58,close:48.72,adj_close:46.1624,shares:
date:2015-02-03,ticker:AAL,open:47.3,close:47.5,adj_close:45.0064,shares:
date:2015-02-04,ticker:AAL,open:48.62,close:49.46,adj_close:46.8635,shares:
date:2015-02-05,ticker:AAL,open:49.46,close:48.81,adj_close:46.3414,shares:
date:2015-02-06,ticker:AAL,open:48.84,close:48.15,adj_close:45.7147,shares:
date:2015-02-09,ticker:AAL,open:46.41,close:46.53,adj_close:44.1767,shares:
date:2015-02-10,ticker:AAL,open:47.4,close:48.05,adj_close:45.6198,shares:
date:2015-02-11,ticker:AAL,open:48.79,close:47.59,adj_close:45.183,shares:
date:2015-02-12,ticker:AAL,open:46.75,close:47.88,adj_close:45.4584,shares:
date:2015-02-13,ticker:AAL,open:47.53,close:48.39,adj_close:45.9426,shares:
date:2015-02-17,ticker:AAL,open:48.77,close:48.01,adj_close:45.5818,shares:
date:2015-02-18,ticker:AAL,open:48.6,close:49.31,adj_close:46.816,shares:
date:2015-02-19,ticker:AAL,open:50.78,close:49.78,adj_close:47.2623,shares:
date:2015-02-20,ticker:AAL,open:49.81,close:51.02,adj_close:48.4396,shares:
date:2015-02-23,ticker:AAL,open:51.75,close:51.31,adj_close:48.7149,shares:
date:2015-02-24,ticker:AAL,open:50.29,close:51.52,adj_close:48.9143,shares:
date:2015-02-25,ticker:AAL,open:51.3,close:49.73,adj_close:47.2148,shares:
date:2015-02-26,ticker:AAL,open:50.38,close:49.35,adj_close:46.854,shares:
date:2015-02-27,ticker:AAL,open:49.0,close:47.9,adj_close:45.4774,shares:
date:2015-03-02,ticker:AAL,open:48.2,close:48.31,adj_close:45.8666,shares:
