date:2016-05-12,ticker:AAPL,open:23.18,close:22.585,adj_close:20.6475,shares:5544580000
date:2016-05-13,ticker:AAPL,open:22.5,close:22.63,adj_close:20.6886,shares:5544580000
date:2016-06-27,ticker:AAPL,open:23.25,close:23.01,adj_close:21.036,shares:5544580000
date:2016-01-27,ticker:AAPL,open:24.01,close:23.355,adj_close:21.1077,shares:5575330000
date:2016-05-11,ticker:AAPL,open:23.37,close:23.1275,adj_close:21.1434,shares:5544580000
date:2016-05-06,ticker:AAPL,open:23.3425,close:23.18,adj_close:21.1914,shares:5544580000
date:2016-05-09,ticker:AAPL,open:23.25,close:23.1975,adj_close:21.2074,shares:5544580000
date:2016-01-28,ticker:AAPL,open:23.4475,close:23.5225,adj_close:21.259,shares:5544580000
date:2016-05-02,ticker:AAPL,open:23.4925,close:23.41,adj_close:21.2722,shares:5544580000
date:2016-02-11,ticker:AAPL,open:23.4475,close:23.425,adj_close:21.2858,shares:5544580000
date:2016-04-29,ticker:AAPL,open:23.4975,close:23.435,adj_close:21.2949,shares:5544580000
date:2016-05-05,ticker:AAPL,open:23.5,close:23.31,adj_close:21.3103,shares:5544580000
date:2016-06-24,ticker:AAPL,open:23.2275,close:23.35,adj_close:21.3468,shares:5544580000
date:2016-02-02,ticker:AAPL,open:23.855,close:23.62,adj_close:21.3472,shares:5544580000
date:2016-05-10,ticker:AAPL,open:23.3325,close:23.355,adj_close:21.3514,shares:5544580000
date:2016-02-12,ticker:AAPL,open:23.5475,close:23.4975,adj_close:21.3517,shares:5544580000
date:2016-02-05,ticker:AAPL,open:24.13,close:23.505,adj_close:21.3585,shares:5544580000
date:2016-05-17,ticker:AAPL,open:23.6375,close:23.3725,adj_close:21.3674,shares:5544580000
date:2016-06-28,ticker:AAPL,open:23.225,close:23.3975,adj_close:21.3903,shares:5544580000
date:2016-05-04,ticker:AAPL,open:23.8,close:23.5475,adj_close:21.3971,shares:5544580000
date:2016-02-10,ticker:AAPL,open:23.98,close:23.5675,adj_close:21.4153,shares:5544580000
date:2016-05-16,ticker:AAPL,open:23.0975,close:23.47,adj_close:21.4565,shares:5544580000
date:2016-02-23,ticker:AAPL,open:24.1,close:23.6725,adj_close:21.5107,shares:5544580000
date:2016-05-19,ticker:AAPL,open:23.66,close:23.55,adj_close:21.5297,shares:5544580000
date:2016-04-28,ticker:AAPL,open:24.4025,close:23.7075,adj_close:21.5425,shares:5544580000
date:2016-06-29,ticker:AAPL,open:23.4925,close:23.6,adj_close:21.5754,shares:5544580000
date:2016-02-09,ticker:AAPL,open:23.5725,close:23.7475,adj_close:21.5788,shares:5544580000
date:2016-02-08,ticker:AAPL,open:23.2825,close:23.7525,adj_close:21.5834,shares:5544580000
date:2016-05-18,ticker:AAPL,open:23.54,close:23.64,adj_close:21.612,shares:5544580000
date:2016-05-03,ticker:AAPL,open:23.55,close:23.795,adj_close:21.622,shares:5544580000
date:2016-07-05,ticker:AAPL,open:23.8475,close:23.7475,adj_close:21.7102,shares:5544580000
date:2016-06-20,ticker:AAPL,open:24.0,close:23.775,adj_close:21.7354,shares:5544580000
date:2016-01-21,ticker:AAPL,open:24.265,close:24.075,adj_close:21.7584,shares:5575330000
date:2016-05-20,ticker:AAPL,open:23.66,close:23.805,adj_close:21.7628,shares:5544580000
date:2016-02-03,ticker:AAPL,open:23.75,close:24.0875,adj_close:21.7697,shares:5544580000
date:2016-02-01,ticker:AAPL,open:24.1175,close:24.1075,adj_close:21.7877,shares:5544580000
date:2016-06-17,ticker:AAPL,open:24.155,close:23.8325,adj_close:21.7879,shares:5544580000
date:2016-01-07,ticker:AAPL,open:24.67,close:24.1125,adj_close:21.7923,shares:5575330000
date:2016-02-19,ticker:AAPL,open:24.0,close:24.01,adj_close:21.8174,shares:5544580000
date:2016-02-24,ticker:AAPL,open:23.495,close:24.025,adj_close:21.831,shares:5544580000
date:2016-07-06,ticker:AAPL,open:23.65,close:23.8825,adj_close:21.8337,shares:5544580000
date:2016-06-22,ticker:AAPL,open:24.0625,close:23.8875,adj_close:21.8382,shares:5544580000
date:2016-01-19,ticker:AAPL,open:24.6025,close:24.165,adj_close:21.8397,shares:5575330000
date:2016-06-30,ticker:AAPL,open:23.61,close:23.9,adj_close:21.8496,shares:5544580000
date:2016-02-18,ticker:AAPL,open:24.71,close:24.065,adj_close:21.8674,shares:5544580000
date:2016-01-20,ticker:AAPL,open:23.775,close:24.1975,adj_close:21.8691,shares:5575330000
date:2016-01-08,ticker:AAPL,open:24.6375,close:24.24,adj_close:21.9075,shares:5575330000
date:2016-07-01,ticker:AAPL,open:23.8725,close:23.9725,adj_close:21.9159,shares:5544580000
date:2016-06-21,ticker:AAPL,open:23.735,close:23.9775,adj_close:21.9205,shares:5544580000
date:2016-07-07,ticker:AAPL,open:23.925,close:23.985,adj_close:21.9273,shares:5544580000
date:2016-02-04,ticker:AAPL,open:23.965,close:24.15,adj_close:21.9446,shares:5544580000
date:2016-01-15,ticker:AAPL,open:24.05,close:24.2825,adj_close:21.9459,shares:5575330000
date:2016-02-16,ticker:AAPL,open:23.755,close:24.16,adj_close:21.9537,shares:5544580000
date:2016-06-23,ticker:AAPL,open:23.985,close:24.025,adj_close:21.9639,shares:5544580000
date:2016-02-29,ticker:AAPL,open:24.215,close:24.1725,adj_close:21.965,shares:5544580000
date:2016-02-25,ticker:AAPL,open:24.0125,close:24.19,adj_close:21.9809,shares:5544580000
