date:2015-08-25,ticker:JNJ,open:95.69,close:90.73,adj_close:69.8101,shares:
date:2015-09-25,ticker:JNJ,open:92.93,close:91.0,adj_close:70.0178,shares:
date:2015-09-04,ticker:JNJ,open:91.58,close:91.31,adj_close:70.2564,shares:
date:2015-09-28,ticker:JNJ,open:90.7,close:91.37,adj_close:70.3026,shares:
date:2015-09-01,ticker:JNJ,open:92.29,close:92.09,adj_close:70.8565,shares:
date:2015-09-09,ticker:JNJ,open:94.99,close:92.22,adj_close:70.9565,shares:
date:2015-09-24,ticker:JNJ,open:92.52,close:92.48,adj_close:71.1566,shares:
date:2015-09-03,ticker:JNJ,open:93.66,close:92.64,adj_close:71.2797,shares:
date:2015-09-10,ticker:JNJ,open:92.11,close:92.72,adj_close:71.3413,shares:
date:2015-08-24,ticker:JNJ,open:91.08,close:92.82,adj_close:71.4182,shares:
date:2015-09-11,ticker:JNJ,open:92.44,close:92.93,adj_close:71.5028,shares:
date:2015-09-23,ticker:JNJ,open:93.21,close:92.99,adj_close:71.549,shares:
date:2015-09-29,ticker:JNJ,open:92.24,close:93.04,adj_close:71.5875,shares:
date:2015-09-21,ticker:JNJ,open:93.87,close:93.13,adj_close:71.6567,shares:
date:2015-10-01,ticker:JNJ,open:93.43,close:93.17,adj_close:71.6875,shares:
date:2015-09-22,ticker:JNJ,open:92.26,close:93.24,adj_close:71.7414,shares:
date:2015-09-14,ticker:JNJ,open:92.9,close:93.32,adj_close:71.8029,shares:
date:2015-09-30,ticker:JNJ,open:94.13,close:93.35,adj_close:71.826,shares:
date:2015-09-02,ticker:JNJ,open:93.17,close:93.35,adj_close:71.826,shares:
date:2015-09-18,ticker:JNJ,open:94.08,close:93.39,adj_close:71.8568,shares:
date:2015-10-06,ticker:JNJ,open:94.52,close:93.42,adj_close:71.8799,shares:
date:2015-10-02,ticker:JNJ,open:92.14,close:93.93,adj_close:72.2723,shares:
date:2015-09-08,ticker:JNJ,open:93.09,close:93.94,adj_close:72.28,shares:
