date:2015-08-25,ticker:KO,open:39.13,close:37.99,adj_close:27.8959,shares:
date:2015-09-09,ticker:KO,open:39.12,close:38.3,adj_close:28.1236,shares:
date:2015-08-24,ticker:KO,open:37.99,close:38.38,adj_close:28.1823,shares:
date:2015-09-10,ticker:KO,open:38.31,close:38.42,adj_close:28.2117,shares:
date:2015-09-14,ticker:KO,open:38.22,close:38.1,adj_close:28.2191,shares:
date:2015-09-11,ticker:KO,open:38.01,close:38.13,adj_close:28.2413,shares:
date:2015-09-04,ticker:KO,open:38.68,close:38.52,adj_close:28.2851,shares:
date:2015-08-26,ticker:KO,open:38.75,close:38.73,adj_close:28.4393,shares:
date:2015-09-01,ticker:KO,open:38.67,close:38.75,adj_close:28.454,shares:
date:2015-09-15,ticker:KO,open:38.07,close:38.5,adj_close:28.5153,shares:
date:2015-09-08,ticker:KO,open:38.87,close:38.9,adj_close:28.5641,shares:
date:2015-09-02,ticker:KO,open:39.03,close:38.9,adj_close:28.5641,shares:
date:2015-09-23,ticker:KO,open:38.79,close:38.76,adj_close:28.7079,shares:
date:2015-09-22,ticker:KO,open:38.68,close:38.79,adj_close:28.7301,shares:
date:2015-09-03,ticker:KO,open:38.9,close:39.16,adj_close:28.755,shares:
date:2015-06-30,ticker:KO,open:39.61,close:39.23,adj_close:28.8064,shares:
date:2015-08-27,ticker:KO,open:39.06,close:39.27,adj_close:28.8358,shares:
date:2015-09-18,ticker:KO,open:38.86,close:38.98,adj_close:28.8709,shares:
date:2015-08-31,ticker:KO,open:39.15,close:39.32,adj_close:28.8725,shares:
date:2015-06-29,ticker:KO,open:39.8,close:39.4,adj_close:28.9313,shares:
date:2015-07-06,ticker:KO,open:39.32,close:39.42,adj_close:28.946,shares:
date:2015-03-11,ticker:KO,open:40.73,close:40.1,adj_close:28.964,shares:
date:2015-08-28,ticker:KO,open:39.11,close:39.45,adj_close:28.968,shares:
date:2015-09-24,ticker:KO,open:38.52,close:39.15,adj_close:28.9968,shares:
date:2015-09-16,ticker:KO,open:38.67,close:39.15,adj_close:28.9968,shares:
date:2015-07-02,ticker:KO,open:39.63,close:39.49,adj_close:28.9974,shares:
date:2015-07-01,ticker:KO,open:39.38,close:39.5,adj_close:29.0047,shares:
date:2015-09-21,ticker:KO,open:39.05,close:39.19,adj_close:29.0264,shares:
date:2015-08-21,ticker:KO,open:40.16,close:39.53,adj_close:29.0267,shares:
date:2015-03-13,ticker:KO,open:40.44,close:39.91,adj_close:29.066,shares:
date:2015-06-15,ticker:KO,open:39.83,close:39.59,adj_close:29.0708,shares:
date:2015-03-19,ticker:KO,open:40.48,close:40.02,adj_close:29.1461,shares:
date:2015-09-17,ticker:KO,open:39.15,close:39.38,adj_close:29.1671,shares:
date:2015-03-27,ticker:KO,open:40.48,close:40.08,adj_close:29.1898,shares:
date:2015-06-05,ticker:KO,open:40.48,close:40.1,adj_close:29.2044,shares:
date:2015-06-08,ticker:KO,open:40.1,close:40.16,adj_close:29.248,shares:
date:2015-07-08,ticker:KO,open:39.99,close:39.86,adj_close:29.2691,shares:
date:2015-06-09,ticker:KO,open:40.17,close:40.2,adj_close:29.2772,shares:
date:2015-09-28,ticker:KO,open:39.52,close:39.53,adj_close:29.2782,shares:
date:2015-07-09,ticker:KO,open:40.46,close:39.92,adj_close:29.3131,shares:
date:2015-06-12,ticker:KO,open:40.04,close:39.96,adj_close:29.3425,shares:
date:2015-03-16,ticker:KO,open:40.0,close:40.29,adj_close:29.3427,shares:
date:2015-09-25,ticker:KO,open:39.43,close:39.62,adj_close:29.3449,shares:
date:2015-04-17,ticker:KO,open:40.47,close:40.3,adj_close:29.35,shares:
date:2015-06-26,ticker:KO,open:40.1,close:40.0,adj_close:29.3719,shares:
date:2015-06-10,ticker:KO,open:40.32,close:40.33,adj_close:29.3719,shares:
date:2015-09-29,ticker:KO,open:39.52,close:39.66,adj_close:29.3745,shares:
date:2015-03-26,ticker:KO,open:40.34,close:40.35,adj_close:29.3864,shares:
date:2015-06-25,ticker:KO,open:40.28,close:40.02,adj_close:29.3865,shares:
date:2015-03-10,ticker:KO,open:41.1,close:40.69,adj_close:29.3902,shares:
date:2015-04-15,ticker:KO,open:40.59,close:40.4,adj_close:29.4228,shares:
date:2015-06-16,ticker:KO,open:39.63,close:40.08,adj_close:29.4306,shares:
date:2015-06-11,ticker:KO,open:40.11,close:40.1,adj_close:29.4453,shares:
date:2015-03-25,ticker:KO,open:40.59,close:40.45,adj_close:29.4593,shares:
date:2015-03-24,ticker:KO,open:40.91,close:40.47,adj_close:29.4738,shares:
date:2015-10-01,ticker:KO,open:40.22,close:39.8,adj_close:29.4782,shares:
date:2015-04-29,ticker:KO,open:40.66,close:40.49,adj_close:29.4884,shares:
date:2015-04-14,ticker:KO,open:40.59,close:40.51,adj_close:29.5029,shares:
date:2015-03-17,ticker:KO,open:40.67,close:40.51,adj_close:29.5029,shares:
date:2015-03-30,ticker:KO,open:40.11,close:40.51,adj_close:29.5029,shares:
date:2015-06-24,ticker:KO,open:40.37,close:40.19,adj_close:29.5114,shares:
date:2015-03-31,ticker:KO,open:40.51,close:40.55,adj_close:29.5321,shares:
date:2015-04-30,ticker:KO,open:40.4,close:40.56,adj_close:29.5394,shares:
date:2015-03-12,ticker:KO,open:40.1,close:40.57,adj_close:29.5467,shares:
date:2015-07-07,ticker:KO,open:39.49,close:40.25,adj_close:29.5554,shares:
date:2015-06-04,ticker:KO,open:40.71,close:40.59,adj_close:29.5612,shares:
date:2015-03-18,ticker:KO,open:40.48,close:40.6,adj_close:29.5685,shares:
date:2015-04-16,ticker:KO,open:40.41,close:40.6,adj_close:29.5685,shares:
date:2015-06-17,ticker:KO,open:40.08,close:40.27,adj_close:29.5701,shares:
date:2015-03-23,ticker:KO,open:40.64,close:40.62,adj_close:29.5831,shares:
date:2015-03-20,ticker:KO,open:40.07,close:40.65,adj_close:29.6049,shares:
date:2015-04-20,ticker:KO,open:40.42,close:40.66,adj_close:29.6122,shares:
date:2015-05-06,ticker:KO,open:41.04,close:40.66,adj_close:29.6122,shares:
date:2015-04-01,ticker:KO,open:40.79,close:40.68,adj_close:29.6268,shares:
date:2015-04-02,ticker:KO,open:40.73,close:40.68,adj_close:29.6268,shares:
date:2015-05-12,ticker:KO,open:40.77,close:40.69,adj_close:29.634,shares:
date:2015-05-07,ticker:KO,open:40.53,close:40.7,adj_close:29.6413,shares:
date:2015-04-13,ticker:KO,open:40.97,close:40.7,adj_close:29.6413,shares:
date:2015-06-23,ticker:KO,open:40.43,close:40.38,adj_close:29.6509,shares:
date:2015-07-10,ticker:KO,open:40.27,close:40.39,adj_close:29.6582,shares:
date:2015-06-19,ticker:KO,open:40.59,close:40.4,adj_close:29.6656,shares:
date:2015-05-05,ticker:KO,open:41.14,close:40.75,adj_close:29.6777,shares:
date:2015-04-28,ticker:KO,open:40.95,close:40.77,adj_close:29.6923,shares:
date:2015-07-24,ticker:KO,open:40.76,close:40.44,adj_close:29.695,shares:
date:2015-04-21,ticker:KO,open:40.67,close:40.78,adj_close:29.6996,shares:
date:2015-09-30,ticker:KO,open:39.88,close:40.12,adj_close:29.7152,shares:
date:2015-06-22,ticker:KO,open:40.51,close:40.48,adj_close:29.7243,shares:
date:2015-04-27,ticker:KO,open:41.0,close:40.83,adj_close:29.736,shares:
date:2015-01-30,ticker:KO,open:41.83,close:41.17,adj_close:29.7369,shares:
date:2015-06-03,ticker:KO,open:41.1,close:40.87,adj_close:29.7651,shares:
date:2015-07-27,ticker:KO,open:40.28,close:40.54,adj_close:29.7684,shares:
date:2015-04-10,ticker:KO,open:41.09,close:40.88,adj_close:29.7724,shares:
date:2015-08-20,ticker:KO,open:40.52,close:40.55,adj_close:29.7757,shares:
date:2015-07-28,ticker:KO,open:40.65,close:40.55,adj_close:29.7757,shares:
date:2015-04-08,ticker:KO,open:40.98,close:40.89,adj_close:29.7797,shares:
date:2015-04-24,ticker:KO,open:41.04,close:40.89,adj_close:29.7797,shares:
date:2015-02-09,ticker:KO,open:41.38,close:41.23,adj_close:29.7802,shares:
date:2015-07-30,ticker:KO,open:40.55,close:40.56,adj_close:29.7831,shares:
date:2015-05-01,ticker:KO,open:40.58,close:40.91,adj_close:29.7943,shares:
date:2015-07-29,ticker:KO,open:40.53,close:40.59,adj_close:29.8051,shares:
date:2015-06-01,ticker:KO,open:41.36,close:40.94,adj_close:29.8161,shares:
date:2015-05-11,ticker:KO,open:40.98,close:40.94,adj_close:29.8161,shares:
date:2015-04-23,ticker:KO,open:41.23,close:40.95,adj_close:29.8234,shares:
date:2015-05-04,ticker:KO,open:40.88,close:40.96,adj_close:29.8307,shares:
date:2015-05-29,ticker:KO,open:41.18,close:40.96,adj_close:29.8307,shares:
date:2015-05-08,ticker:KO,open:41.0,close:40.98,adj_close:29.8452,shares:
date:2015-06-18,ticker:KO,open:40.16,close:40.65,adj_close:29.8492,shares:
date:2015-06-02,ticker:KO,open:40.84,close:40.99,adj_close:29.8525,shares:
date:2015-05-26,ticker:KO,open:41.12,close:40.99,adj_close:29.8525,shares:
date:2015-07-13,ticker:KO,open:40.56,close:40.66,adj_close:29.8565,shares:
date:2015-04-07,ticker:KO,open:41.05,close:41.01,adj_close:29.8671,shares:
date:2015-03-09,ticker:KO,open:41.53,close:41.39,adj_close:29.8958,shares:
date:2015-05-13,ticker:KO,open:40.75,close:41.05,adj_close:29.8962,shares:
date:2015-04-09,ticker:KO,open:40.8,close:41.05,adj_close:29.8962,shares:
date:2015-10-02,ticker:KO,open:39.56,close:40.39,adj_close:29.9152,shares:
date:2015-02-06,ticker:KO,open:41.63,close:41.45,adj_close:29.9391,shares:
date:2015-08-19,ticker:KO,open:41.14,close:40.78,adj_close:29.9446,shares:
date:2015-05-27,ticker:KO,open:40.94,close:41.12,adj_close:29.9472,shares:
date:2015-05-28,ticker:KO,open:41.2,close:41.14,adj_close:29.9618,shares:
date:2015-04-06,ticker:KO,open:40.77,close:41.17,adj_close:29.9836,shares:
date:2015-07-23,ticker:KO,open:40.99,close:40.84,adj_close:29.9887,shares:
date:2015-03-06,ticker:KO,open:42.12,close:41.52,adj_close:29.9897,shares:
date:2015-05-22,ticker:KO,open:41.12,close:41.21,adj_close:30.0128,shares:
date:2015-05-21,ticker:KO,open:41.26,close:41.23,adj_close:30.0273,shares:
date:2015-07-22,ticker:KO,open:40.81,close:40.9,adj_close:30.0327,shares:
date:2015-02-02,ticker:KO,open:41.21,close:41.59,adj_close:30.0402,shares:
date:2015-02-03,ticker:KO,open:41.75,close:41.63,adj_close:30.0691,shares:
date:2015-05-19,ticker:KO,open:41.23,close:41.31,adj_close:30.0856,shares:
date:2015-04-22,ticker:KO,open:41.56,close:41.31,adj_close:30.0856,shares:
date:2015-05-18,ticker:KO,open:41.49,close:41.32,adj_close:30.0929,shares:
date:2015-02-04,ticker:KO,open:41.77,close:41.68,adj_close:30.1052,shares:
date:2015-05-20,ticker:KO,open:41.37,close:41.35,adj_close:30.1147,shares:
date:2015-02-18,ticker:KO,open:41.75,close:41.73,adj_close:30.1414,shares:
date:2015-07-31,ticker:KO,open:40.88,close:41.08,adj_close:30.1649,shares:
date:2015-08-13,ticker:KO,open:41.28,close:41.1,adj_close:30.1796,shares:
date:2015-02-05,ticker:KO,open:41.8,close:41.79,adj_close:30.1847,shares:
date:2015-02-17,ticker:KO,open:41.81,close:41.81,adj_close:30.1991,shares:
date:2015-07-15,ticker:KO,open:41.15,close:41.13,adj_close:30.2016,shares:
date:2015-05-14,ticker:KO,open:41.3,close:41.5,adj_close:30.224,shares:
date:2015-02-23,ticker:KO,open:41.71,close:41.85,adj_close:30.228,shares:
date:2015-07-14,ticker:KO,open:40.9,close:41.17,adj_close:30.231,shares:
date:2015-05-15,ticker:KO,open:41.45,close:41.52,adj_close:30.2385,shares:
date:2015-07-21,ticker:KO,open:41.38,close:41.19,adj_close:30.2457,shares:
date:2015-01-28,ticker:KO,open:42.59,close:41.92,adj_close:30.2786,shares:
date:2015-08-14,ticker:KO,open:41.01,close:41.25,adj_close:30.2897,shares:
date:2015-07-17,ticker:KO,open:41.31,close:41.25,adj_close:30.2897,shares:
date:2015-08-12,ticker:KO,open:41.13,close:41.26,adj_close:30.2971,shares:
date:2015-02-20,ticker:KO,open:42.04,close:41.97,adj_close:30.3147,shares:
date:2015-08-18,ticker:KO,open:41.28,close:41.3,adj_close:30.3264,shares:
date:2015-02-13,ticker:KO,open:42.02,close:41.99,adj_close:30.3292,shares:
date:2015-10-06,ticker:KO,open:41.04,close:40.96,adj_close:30.3374,shares:
date:2015-08-17,ticker:KO,open:41.03,close:41.35,adj_close:30.3632,shares:
date:2015-02-25,ticker:KO,open:42.17,close:42.05,adj_close:30.3725,shares:
date:2015-10-05,ticker:KO,open:40.45,close:41.01,adj_close:30.3744,shares:
date:2015-07-20,ticker:KO,open:41.35,close:41.38,adj_close:30.3852,shares:
date:2015-01-29,ticker:KO,open:41.77,close:42.1,adj_close:30.4086,shares:
date:2015-02-19,ticker:KO,open:41.68,close:42.11,adj_close:30.4158,shares:
date:2015-02-24,ticker:KO,open:41.85,close:42.13,adj_close:30.4303,shares:
date:2015-01-02,ticker:KO,open:42.26,close:42.14,adj_close:30.4375,shares:
date:2015-01-05,ticker:KO,open:42.69,close:42.14,adj_close:30.4375,shares:
date:2015-07-16,ticker:KO,open:41.42,close:41.48,adj_close:30.4586,shares:
date:2015-08-11,ticker:KO,open:41.4,close:41.48,adj_close:30.4586,shares:
date:2015-02-12,ticker:KO,open:42.4,close:42.17,adj_close:30.4592,shares:
date:2015-08-03,ticker:KO,open:40.85,close:41.54,adj_close:30.5027,shares:
date:2015-02-11,ticker:KO,open:42.1,close:42.37,adj_close:30.6036,shares:
date:2015-08-10,ticker:KO,open:41.89,close:41.68,adj_close:30.6055,shares:
date:2015-01-15,ticker:KO,open:42.83,close:42.38,adj_close:30.6108,shares:
date:2015-01-27,ticker:KO,open:42.54,close:42.39,adj_close:30.6181,shares:
date:2015-03-05,ticker:KO,open:42.56,close:42.4,adj_close:30.6253,shares:
date:2015-02-10,ticker:KO,open:42.91,close:42.4,adj_close:30.6253,shares:
date:2015-11-13,ticker:KO,open:41.46,close:41.38,adj_close:30.6484,shares:4348990000
date:2015-01-06,ticker:KO,open:42.41,close:42.46,adj_close:30.6686,shares:
date:2015-02-26,ticker:KO,open:42.04,close:42.46,adj_close:30.6686,shares:
date:2015-08-07,ticker:KO,open:41.81,close:41.77,adj_close:30.6716,shares:
date:2015-03-04,ticker:KO,open:42.92,close:42.5,adj_close:30.6975,shares:
date:2015-01-16,ticker:KO,open:42.36,close:42.53,adj_close:30.7192,shares:
date:2015-08-04,ticker:KO,open:41.51,close:41.85,adj_close:30.7303,shares:
date:2015-01-14,ticker:KO,open:42.08,close:42.56,adj_close:30.7409,shares:
date:2015-10-07,ticker:KO,open:41.14,close:41.52,adj_close:30.7521,shares:
date:2015-11-09,ticker:KO,open:41.7,close:41.54,adj_close:30.7669,shares:4348990000
date:2015-08-06,ticker:KO,open:42.0,close:41.92,adj_close:30.7817,shares:
date:2015-01-13,ticker:KO,open:42.83,close:42.63,adj_close:30.7914,shares:
date:2015-11-12,ticker:KO,open:42.01,close:41.58,adj_close:30.7966,shares:4348990000
date:2015-01-12,ticker:KO,open:43.07,close:42.64,adj_close:30.7986,shares:
date:2015-10-13,ticker:KO,open:41.8,close:41.65,adj_close:30.8484,shares:
date:2015-11-17,ticker:KO,open:41.85,close:41.67,adj_close:30.8632,shares:4348990000
date:2015-10-14,ticker:KO,open:41.56,close:41.68,adj_close:30.8706,shares:
date:2016-01-20,ticker:KO,open:41.45,close:41.38,adj_close:30.8835,shares:4348990000
