date:2015-01-30,ticker:MSFT,open:41.55,close:40.4,adj_close:34.5583,shares:
date:2015-04-02,ticker:MSFT,open:40.66,close:40.29,adj_close:34.7095,shares:
date:2015-03-31,ticker:MSFT,open:40.78,close:40.66,adj_close:35.0283,shares:
date:2015-04-01,ticker:MSFT,open:40.6,close:40.72,adj_close:35.08,shares:
date:2015-01-28,ticker:MSFT,open:42.74,close:41.19,adj_close:35.2341,shares:
date:2015-03-30,ticker:MSFT,open:41.1,close:40.96,adj_close:35.2867,shares:
date:2015-03-27,ticker:MSFT,open:41.12,close:40.97,adj_close:35.2953,shares:
date:2015-02-02,ticker:MSFT,open:40.59,close:41.28,adj_close:35.3111,shares:
date:2015-08-25,ticker:MSFT,open:42.57,close:40.47,adj_close:35.3226,shares:
date:2015-03-12,ticker:MSFT,open:41.33,close:41.02,adj_close:35.3384,shares:
date:2015-03-26,ticker:MSFT,open:41.22,close:41.21,adj_close:35.5021,shares:
date:2015-02-03,ticker:MSFT,open:41.63,close:41.6,adj_close:35.5848,shares:
date:2015-03-13,ticker:MSFT,open:40.7,close:41.38,adj_close:35.6485,shares:
date:2015-04-08,ticker:MSFT,open:41.46,close:41.42,adj_close:35.683,shares:
date:2015-03-25,ticker:MSFT,open:42.92,close:41.46,adj_close:35.7175,shares:
date:2015-04-09,ticker:MSFT,open:41.25,close:41.48,adj_close:35.7347,shares:
date:2015-04-07,ticker:MSFT,open:41.61,close:41.53,adj_close:35.7778,shares:
date:2015-02-04,ticker:MSFT,open:41.94,close:41.84,adj_close:35.7901,shares:
date:2015-04-06,ticker:MSFT,open:40.34,close:41.55,adj_close:35.795,shares:
date:2015-03-16,ticker:MSFT,open:41.47,close:41.56,adj_close:35.8036,shares:
date:2015-04-17,ticker:MSFT,open:41.67,close:41.62,adj_close:35.8553,shares:
date:2015-04-14,ticker:MSFT,open:41.8,close:41.65,adj_close:35.8811,shares:
date:2015-03-17,ticker:MSFT,open:41.37,close:41.7,adj_close:35.9242,shares:
date:2015-01-29,ticker:MSFT,open:40.93,close:42.01,adj_close:35.9355,shares:
date:2015-04-10,ticker:MSFT,open:41.63,close:41.72,adj_close:35.9414,shares:
date:2015-04-13,ticker:MSFT,open:41.4,close:41.76,adj_close:35.9759,shares:
date:2015-03-11,ticker:MSFT,open:42.31,close:41.98,adj_close:36.1654,shares:
date:2015-03-10,ticker:MSFT,open:42.35,close:42.03,adj_close:36.2085,shares:
date:2015-02-09,ticker:MSFT,open:42.24,close:42.36,adj_close:36.2349,shares:
date:2015-02-11,ticker:MSFT,open:42.65,close:42.38,adj_close:36.252,shares:
date:2015-02-06,ticker:MSFT,open:42.68,close:42.41,adj_close:36.2777,shares:
date:2015-02-05,ticker:MSFT,open:42.22,close:42.45,adj_close:36.3119,shares:
date:2015-04-16,ticker:MSFT,open:41.95,close:42.16,adj_close:36.3205,shares:
date:2015-08-24,ticker:MSFT,open:40.45,close:41.68,adj_close:36.3787,shares:
date:2015-04-15,ticker:MSFT,open:41.76,close:42.26,adj_close:36.4066,shares:
date:2015-03-19,ticker:MSFT,open:42.26,close:42.29,adj_close:36.4325,shares:
date:2015-02-10,ticker:MSFT,open:42.74,close:42.6,adj_close:36.4402,shares:
date:2015-01-27,ticker:MSFT,open:42.95,close:42.66,adj_close:36.4915,shares:
date:2015-03-06,ticker:MSFT,open:43.0,close:42.36,adj_close:36.4928,shares:
date:2015-09-01,ticker:MSFT,open:42.17,close:41.82,adj_close:36.5008,shares:
date:2015-03-18,ticker:MSFT,open:41.43,close:42.5,adj_close:36.6134,shares:
date:2015-04-21,ticker:MSFT,open:43.0,close:42.64,adj_close:36.734,shares:
date:2015-02-12,ticker:MSFT,open:42.66,close:43.09,adj_close:36.8594,shares:
date:2015-03-09,ticker:MSFT,open:42.19,close:42.85,adj_close:36.9149,shares:
date:2015-03-23,ticker:MSFT,open:42.88,close:42.86,adj_close:36.9235,shares:
date:2015-03-20,ticker:MSFT,open:42.56,close:42.88,adj_close:36.9408,shares:
date:2015-03-24,ticker:MSFT,open:42.78,close:42.9,adj_close:36.958,shares:
date:2015-04-20,ticker:MSFT,open:41.73,close:42.91,adj_close:36.9666,shares:
date:2015-04-22,ticker:MSFT,open:42.67,close:42.99,adj_close:37.0355,shares:
date:2015-03-04,ticker:MSFT,open:43.01,close:43.06,adj_close:37.0958,shares:
date:2015-03-05,ticker:MSFT,open:43.07,close:43.11,adj_close:37.1389,shares:
date:2015-09-04,ticker:MSFT,open:42.81,close:42.61,adj_close:37.1904,shares:
date:2015-08-26,ticker:MSFT,open:42.01,close:42.71,adj_close:37.2776,shares:
date:2015-03-03,ticker:MSFT,open:43.56,close:43.28,adj_close:37.2854,shares:
date:2015-04-23,ticker:MSFT,open:42.89,close:43.34,adj_close:37.337,shares:
date:2015-02-19,ticker:MSFT,open:43.18,close:43.5,adj_close:37.4749,shares:
date:2015-02-18,ticker:MSFT,open:43.63,close:43.53,adj_close:37.5007,shares:
date:2015-02-13,ticker:MSFT,open:43.38,close:43.87,adj_close:37.5266,shares:
date:2015-02-17,ticker:MSFT,open:43.97,close:43.58,adj_close:37.5438,shares:
date:2015-09-14,ticker:MSFT,open:43.43,close:43.04,adj_close:37.5657,shares:
date:2015-09-09,ticker:MSFT,open:44.21,close:43.07,adj_close:37.5919,shares:
date:2015-08-21,ticker:MSFT,open:45.3,close:43.07,adj_close:37.5919,shares:
date:2015-02-27,ticker:MSFT,open:44.13,close:43.85,adj_close:37.7764,shares:
date:2015-09-28,ticker:MSFT,open:43.83,close:43.29,adj_close:37.7839,shares:
date:2015-09-10,ticker:MSFT,open:43.12,close:43.29,adj_close:37.7839,shares:
date:2015-02-20,ticker:MSFT,open:43.51,close:43.86,adj_close:37.785,shares:
date:2015-03-02,ticker:MSFT,open:43.67,close:43.88,adj_close:37.8023,shares:
date:2015-09-02,ticker:MSFT,open:42.36,close:43.36,adj_close:37.845,shares:
date:2015-02-25,ticker:MSFT,open:43.95,close:43.99,adj_close:37.897,shares:
date:2015-09-29,ticker:MSFT,open:43.37,close:43.44,adj_close:37.9148,shares:
date:2015-09-18,ticker:MSFT,open:43.5,close:43.48,adj_close:37.9497,shares:
date:2015-09-11,ticker:MSFT,open:43.14,close:43.48,adj_close:37.9497,shares:
date:2015-02-26,ticker:MSFT,open:43.99,close:44.06,adj_close:37.9573,shares:
