date:2016-01-20,ticker:ORCL,open:33.88,close:33.94,adj_close:29.4107,shares:4201220000
date:2016-01-13,ticker:ORCL,open:35.19,close:34.08,adj_close:29.532,shares:4201220000
date:2016-01-15,ticker:ORCL,open:33.8,close:34.12,adj_close:29.5667,shares:4201220000
date:2016-01-21,ticker:ORCL,open:33.91,close:34.12,adj_close:29.5667,shares:4201220000
date:2016-01-25,ticker:ORCL,open:34.58,close:34.34,adj_close:29.7573,shares:4201220000
date:2016-01-19,ticker:ORCL,open:34.54,close:34.55,adj_close:29.9393,shares:4201220000
date:2016-01-08,ticker:ORCL,open:35.13,close:34.65,adj_close:30.0259,shares:4201220000
date:2016-01-14,ticker:ORCL,open:34.19,close:34.79,adj_close:30.1473,shares:4201220000
date:2016-01-22,ticker:ORCL,open:34.55,close:34.8,adj_close:30.1559,shares:4201220000
date:2016-02-11,ticker:ORCL,open:34.59,close:34.84,adj_close:30.1906,shares:4201220000
date:2016-01-27,ticker:ORCL,open:35.03,close:34.91,adj_close:30.2512,shares:4201220000
date:2016-01-11,ticker:ORCL,open:34.75,close:34.94,adj_close:30.2772,shares:4201220000
date:2016-01-07,ticker:ORCL,open:35.25,close:35.04,adj_close:30.3639,shares:4201220000
date:2016-02-09,ticker:ORCL,open:35.13,close:35.08,adj_close:30.3986,shares:4201220000
date:2015-09-28,ticker:ORCL,open:35.72,close:35.44,adj_close:30.4633,shares:4264630000
date:2015-08-25,ticker:ORCL,open:36.97,close:35.45,adj_close:30.4719,shares:
date:2016-02-10,ticker:ORCL,open:35.42,close:35.2,adj_close:30.5026,shares:4201220000
date:2015-09-29,ticker:ORCL,open:35.31,close:35.51,adj_close:30.5235,shares:4264630000
date:2016-01-26,ticker:ORCL,open:34.32,close:35.23,adj_close:30.5285,shares:4201220000
date:2016-01-28,ticker:ORCL,open:35.17,close:35.33,adj_close:30.6152,shares:4201220000
date:2016-02-02,ticker:ORCL,open:35.85,close:35.35,adj_close:30.6325,shares:4201220000
date:2016-01-12,ticker:ORCL,open:35.32,close:35.37,adj_close:30.6499,shares:4201220000
date:2016-02-12,ticker:ORCL,open:35.24,close:35.54,adj_close:30.7972,shares:4201220000
date:2016-02-08,ticker:ORCL,open:35.13,close:35.61,adj_close:30.8578,shares:4201220000
date:2016-01-05,ticker:ORCL,open:35.86,close:35.64,adj_close:30.8838,shares:4201220000
date:2016-02-03,ticker:ORCL,open:35.56,close:35.69,adj_close:30.9272,shares:4201220000
date:2016-02-05,ticker:ORCL,open:36.13,close:35.7,adj_close:30.9358,shares:4201220000
date:2016-02-16,ticker:ORCL,open:35.76,close:35.7,adj_close:30.9358,shares:4201220000
date:2015-09-23,ticker:ORCL,open:36.19,close:35.99,adj_close:30.9361,shares:
date:2015-09-01,ticker:ORCL,open:36.33,close:36.01,adj_close:30.9533,shares:
date:2016-01-04,ticker:ORCL,open:36.01,close:35.75,adj_close:30.9792,shares:4201220000
date:2015-09-25,ticker:ORCL,open:36.2,close:36.05,adj_close:30.9877,shares:4264630000
date:2015-09-24,ticker:ORCL,open:35.85,close:36.06,adj_close:30.9963,shares:
date:2015-08-24,ticker:ORCL,open:35.73,close:36.08,adj_close:31.0135,shares:
date:2016-01-06,ticker:ORCL,open:35.5,close:35.82,adj_close:31.0398,shares:4201220000
date:2015-09-30,ticker:ORCL,open:35.89,close:36.12,adj_close:31.0479,shares:4264630000
date:2015-09-22,ticker:ORCL,open:36.34,close:36.19,adj_close:31.108,shares:
date:2015-10-01,ticker:ORCL,open:36.23,close:36.24,adj_close:31.151,shares:4264630000
date:2015-09-04,ticker:ORCL,open:36.35,close:36.27,adj_close:31.1768,shares:
date:2015-09-18,ticker:ORCL,open:36.29,close:36.38,adj_close:31.2713,shares:
date:2015-12-18,ticker:ORCL,open:36.89,close:36.35,adj_close:31.3697,shares:4201220000
date:2015-12-21,ticker:ORCL,open:36.72,close:36.42,adj_close:31.4301,shares:4201220000
date:2016-01-29,ticker:ORCL,open:35.65,close:36.31,adj_close:31.4644,shares:4201220000
date:2016-02-01,ticker:ORCL,open:35.9,close:36.32,adj_close:31.4731,shares:4201220000
date:2015-12-31,ticker:ORCL,open:36.84,close:36.53,adj_close:31.5251,shares:4201220000
date:2015-12-22,ticker:ORCL,open:36.39,close:36.59,adj_close:31.5769,shares:4201220000
date:2015-09-17,ticker:ORCL,open:38.27,close:36.74,adj_close:31.5808,shares:
date:2016-02-04,ticker:ORCL,open:35.7,close:36.45,adj_close:31.5857,shares:4201220000
date:2015-09-02,ticker:ORCL,open:36.37,close:36.75,adj_close:31.5894,shares:
date:2015-10-21,ticker:ORCL,open:36.98,close:36.62,adj_close:31.6027,shares:4264630000
date:2015-08-27,ticker:ORCL,open:37.35,close:36.82,adj_close:31.6495,shares:
