date:2015-09-14,ticker:PG,open:68.23,close:68.06,adj_close:51.9467,shares:
date:2015-09-10,ticker:PG,open:68.12,close:68.32,adj_close:52.1451,shares:
date:2015-09-11,ticker:PG,open:68.06,close:68.42,adj_close:52.2215,shares:
date:2015-08-25,ticker:PG,open:72.18,close:68.42,adj_close:52.2215,shares:
date:2015-09-09,ticker:PG,open:70.44,close:68.48,adj_close:52.2673,shares:
date:2015-09-04,ticker:PG,open:69.28,close:68.76,adj_close:52.481,shares:
date:2015-09-01,ticker:PG,open:69.37,close:68.9,adj_close:52.5878,shares:
date:2015-08-24,ticker:PG,open:68.57,close:69.14,adj_close:52.771,shares:
date:2015-09-15,ticker:PG,open:68.02,close:69.45,adj_close:53.0076,shares:
date:2015-09-02,ticker:PG,open:69.65,close:69.81,adj_close:53.2824,shares:
date:2015-09-03,ticker:PG,open:70.18,close:69.93,adj_close:53.374,shares:
date:2015-09-18,ticker:PG,open:69.44,close:69.94,adj_close:53.3816,shares:
date:2015-09-08,ticker:PG,open:70.31,close:69.98,adj_close:53.4121,shares:
date:2015-09-16,ticker:PG,open:70.12,close:70.1,adj_close:53.5037,shares:
date:2015-09-22,ticker:PG,open:70.06,close:70.19,adj_close:53.5724,shares:
date:2015-09-17,ticker:PG,open:70.0,close:70.24,adj_close:53.6106,shares:
date:2015-09-23,ticker:PG,open:70.18,close:70.26,adj_close:53.6258,shares:
date:2015-09-21,ticker:PG,open:70.15,close:70.65,adj_close:53.9235,shares:
date:2015-08-31,ticker:PG,open:71.0,close:70.67,adj_close:53.9388,shares:
date:2015-08-26,ticker:PG,open:69.9,close:70.9,adj_close:54.1143,shares:
date:2015-08-28,ticker:PG,open:71.17,close:71.21,adj_close:54.351,shares:
date:2015-09-24,ticker:PG,open:69.82,close:71.36,adj_close:54.4654,shares:
date:2015-08-27,ticker:PG,open:71.4,close:71.48,adj_close:54.557,shares:
date:2015-09-28,ticker:PG,open:72.31,close:71.77,adj_close:54.7784,shares:
date:2015-08-21,ticker:PG,open:73.55,close:71.84,adj_close:54.8318,shares:
date:2015-09-30,ticker:PG,open:72.86,close:71.94,adj_close:54.9081,shares:
date:2015-10-01,ticker:PG,open:71.76,close:71.95,adj_close:54.9157,shares:
date:2015-09-29,ticker:PG,open:71.77,close:72.28,adj_close:55.1676,shares:
date:2015-10-02,ticker:PG,open:71.36,close:72.42,adj_close:55.2745,shares:
date:2015-09-25,ticker:PG,open:72.39,close:72.67,adj_close:55.4653,shares:
date:2015-10-05,ticker:PG,open:72.97,close:73.22,adj_close:55.8851,shares:
date:2015-10-06,ticker:PG,open:73.34,close:73.4,adj_close:56.0225,shares:
date:2015-10-07,ticker:PG,open:73.72,close:73.72,adj_close:56.2667,shares:
date:2015-08-20,ticker:PG,open:73.75,close:73.91,adj_close:56.4117,shares:
date:2015-10-13,ticker:PG,open:74.24,close:74.11,adj_close:56.5643,shares:
date:2015-08-19,ticker:PG,open:74.93,close:74.12,adj_close:56.572,shares:
date:2015-10-14,ticker:PG,open:74.21,close:74.21,adj_close:56.6407,shares:
date:2015-10-21,ticker:PG,open:73.75,close:73.59,adj_close:56.6723,shares:
date:2015-10-15,ticker:PG,open:74.64,close:74.27,adj_close:56.6865,shares:
date:2015-10-12,ticker:PG,open:74.69,close:74.33,adj_close:56.7323,shares:
date:2015-10-08,ticker:PG,open:73.68,close:74.4,adj_close:56.7857,shares:
date:2015-10-20,ticker:PG,open:74.87,close:74.43,adj_close:56.8086,shares:
date:2015-10-09,ticker:PG,open:74.59,close:74.48,adj_close:56.8468,shares:
date:2015-11-13,ticker:PG,open:74.64,close:73.96,adj_close:56.9572,shares:2720570000
date:2015-10-16,ticker:PG,open:74.72,close:74.9,adj_close:57.1673,shares:
date:2015-08-18,ticker:PG,open:75.58,close:75.13,adj_close:57.3429,shares:
date:2015-10-19,ticker:PG,open:74.65,close:75.16,adj_close:57.3658,shares:
date:2015-11-12,ticker:PG,open:75.67,close:74.66,adj_close:57.4963,shares:2720570000
date:2015-08-07,ticker:PG,open:75.59,close:75.48,adj_close:57.61,shares:
date:2015-11-30,ticker:PG,open:75.58,close:74.84,adj_close:57.6349,shares:2720570000
date:2015-10-22,ticker:PG,open:73.86,close:74.85,adj_close:57.6426,shares:
date:2015-08-17,ticker:PG,open:75.81,close:75.53,adj_close:57.6482,shares:
date:2015-08-14,ticker:PG,open:75.74,close:75.62,adj_close:57.7169,shares:
date:2016-01-15,ticker:PG,open:74.5,close:74.98,adj_close:57.7427,shares:2720570000
date:2015-08-06,ticker:PG,open:76.01,close:75.74,adj_close:57.8085,shares:
date:2015-11-17,ticker:PG,open:75.33,close:75.07,adj_close:57.8121,shares:2720570000
date:2015-08-05,ticker:PG,open:76.05,close:75.77,adj_close:57.8314,shares:
date:2015-08-13,ticker:PG,open:76.49,close:75.78,adj_close:57.839,shares:
date:2015-08-04,ticker:PG,open:76.03,close:75.91,adj_close:57.9382,shares:
date:2015-11-16,ticker:PG,open:74.25,close:75.3,adj_close:57.9892,shares:2720570000
date:2015-11-09,ticker:PG,open:75.19,close:75.4,adj_close:58.0662,shares:2720570000
date:2015-08-11,ticker:PG,open:76.04,close:76.22,adj_close:58.1748,shares:
date:2015-11-06,ticker:PG,open:75.88,close:75.57,adj_close:58.1971,shares:2720570000
date:2015-08-10,ticker:PG,open:75.95,close:76.38,adj_close:58.2969,shares:
date:2015-11-27,ticker:PG,open:75.89,close:75.7,adj_close:58.2972,shares:2720570000
date:2015-08-12,ticker:PG,open:75.89,close:76.39,adj_close:58.3046,shares:
date:2015-08-03,ticker:PG,open:76.51,close:76.4,adj_close:58.3122,shares:
date:2015-12-03,ticker:PG,open:75.83,close:75.74,adj_close:58.328,shares:2720570000
date:2015-11-10,ticker:PG,open:75.38,close:75.77,adj_close:58.3511,shares:2720570000
date:2015-12-02,ticker:PG,open:75.73,close:75.79,adj_close:58.3666,shares:2720570000
date:2015-11-20,ticker:PG,open:76.55,close:75.82,adj_close:58.3896,shares:2720570000
date:2016-01-13,ticker:PG,open:76.97,close:75.85,adj_close:58.4127,shares:2720570000
date:2015-11-25,ticker:PG,open:76.53,close:75.9,adj_close:58.4513,shares:2720570000
date:2015-11-18,ticker:PG,open:74.98,close:75.9,adj_close:58.4513,shares:2720570000
date:2015-12-01,ticker:PG,open:74.87,close:75.94,adj_close:58.482,shares:2720570000
date:2015-11-11,ticker:PG,open:76.02,close:75.96,adj_close:58.4974,shares:2720570000
date:2016-01-08,ticker:PG,open:77.36,close:75.97,adj_close:58.5051,shares:2720570000
date:2015-11-23,ticker:PG,open:75.82,close:75.97,adj_close:58.5051,shares:2720570000
date:2015-07-31,ticker:PG,open:77.63,close:76.7,adj_close:58.5412,shares:
date:2015-06-05,ticker:PG,open:78.04,close:77.43,adj_close:58.6183,shares:
date:2016-01-14,ticker:PG,open:76.1,close:76.15,adj_close:58.6438,shares:2720570000
date:2015-11-19,ticker:PG,open:76.14,close:76.22,adj_close:58.6977,shares:2720570000
date:2015-10-30,ticker:PG,open:76.98,close:76.38,adj_close:58.8209,shares:2720570000
date:2015-11-05,ticker:PG,open:77.09,close:76.39,adj_close:58.8286,shares:2720570000
date:2015-06-08,ticker:PG,open:77.48,close:77.71,adj_close:58.8304,shares:
date:2015-11-24,ticker:PG,open:75.62,close:76.45,adj_close:58.8748,shares:2720570000
date:2016-01-20,ticker:PG,open:75.29,close:75.83,adj_close:58.9063,shares:2720570000
date:2016-01-12,ticker:PG,open:77.0,close:76.51,adj_close:58.921,shares:2720570000
date:2015-10-28,ticker:PG,open:77.39,close:76.51,adj_close:58.921,shares:2720570000
date:2015-11-02,ticker:PG,open:76.57,close:76.6,adj_close:58.9903,shares:2720570000
date:2016-01-11,ticker:PG,open:76.17,close:76.67,adj_close:59.0442,shares:2720570000
date:2015-07-30,ticker:PG,open:79.4,close:77.39,adj_close:59.0678,shares:
date:2016-01-19,ticker:PG,open:75.8,close:76.73,adj_close:59.0905,shares:2720570000
date:2015-06-15,ticker:PG,open:78.33,close:78.12,adj_close:59.1407,shares:
date:2015-06-04,ticker:PG,open:78.41,close:78.15,adj_close:59.1634,shares:
date:2018-05-02,ticker:PG,open:71.94,close:70.94,adj_close:59.1781,shares:2498099968
date:2015-06-30,ticker:PG,open:78.92,close:78.24,adj_close:59.2316,shares:
date:2015-06-29,ticker:PG,open:78.95,close:78.32,adj_close:59.2921,shares:
date:2015-10-29,ticker:PG,open:76.75,close:77.02,adj_close:59.3138,shares:2720570000
date:2015-10-23,ticker:PG,open:76.76,close:77.03,adj_close:59.3215,shares:2720570000
date:2015-11-03,ticker:PG,open:76.3,close:77.05,adj_close:59.3369,shares:2720570000
date:2015-11-04,ticker:PG,open:77.03,close:77.06,adj_close:59.3446,shares:2720570000
date:2015-05-29,ticker:PG,open:79.18,close:78.39,adj_close:59.3451,shares:
date:2016-01-07,ticker:PG,open:76.85,close:77.18,adj_close:59.437,shares:2720570000
date:2015-06-02,ticker:PG,open:78.46,close:78.54,adj_close:59.4587,shares:
date:2015-06-03,ticker:PG,open:78.91,close:78.56,adj_close:59.4738,shares:
date:2015-10-27,ticker:PG,open:77.12,close:77.29,adj_close:59.5217,shares:2720570000
date:2018-05-03,ticker:PG,open:70.81,close:71.36,adj_close:59.5285,shares:2498099968
date:2018-05-08,ticker:PG,open:72.05,close:71.44,adj_close:59.5952,shares:2498099968
date:2016-01-21,ticker:PG,open:76.02,close:76.72,adj_close:59.5977,shares:2720570000
date:2015-10-26,ticker:PG,open:77.0,close:77.49,adj_close:59.6757,shares:2720570000
date:2015-06-01,ticker:PG,open:78.65,close:78.85,adj_close:59.6934,shares:
date:2016-01-25,ticker:PG,open:77.2,close:76.85,adj_close:59.6987,shares:2720570000
date:2015-06-12,ticker:PG,open:79.17,close:78.87,adj_close:59.7085,shares:
date:2015-06-09,ticker:PG,open:77.97,close:78.9,adj_close:59.7312,shares:
date:2015-12-09,ticker:PG,open:77.6,close:77.7,adj_close:59.8374,shares:2720570000
date:2015-12-08,ticker:PG,open:77.68,close:77.75,adj_close:59.8759,shares:2720570000
date:2015-06-16,ticker:PG,open:79.6,close:79.1,adj_close:59.8826,shares:
date:2015-12-11,ticker:PG,open:77.51,close:77.78,adj_close:59.899,shares:2720570000
date:2015-12-10,ticker:PG,open:77.91,close:77.79,adj_close:59.9067,shares:2720570000
date:2015-05-26,ticker:PG,open:79.97,close:79.14,adj_close:59.9129,shares:
date:2015-12-04,ticker:PG,open:75.98,close:77.83,adj_close:59.9376,shares:2720570000
date:2016-01-06,ticker:PG,open:77.67,close:77.86,adj_close:59.9607,shares:2720570000
date:2018-05-01,ticker:PG,open:72.05,close:71.96,adj_close:60.029,shares:2498099968
date:2018-05-07,ticker:PG,open:72.67,close:71.98,adj_close:60.0457,shares:2498099968
date:2015-05-28,ticker:PG,open:79.43,close:79.33,adj_close:60.0568,shares:
date:2015-06-26,ticker:PG,open:79.54,close:79.34,adj_close:60.0643,shares:
date:2016-01-22,ticker:PG,open:77.4,close:77.36,adj_close:60.0949,shares:2720570000
date:2015-05-27,ticker:PG,open:79.22,close:79.39,adj_close:60.1022,shares:
date:2015-06-25,ticker:PG,open:79.71,close:79.39,adj_close:60.1022,shares:
date:2015-06-11,ticker:PG,open:79.93,close:79.41,adj_close:60.1173,shares:
date:2015-12-18,ticker:PG,open:79.95,close:78.13,adj_close:60.1686,shares:2720570000
date:2015-04-30,ticker:PG,open:79.95,close:79.51,adj_close:60.193,shares:
date:2015-06-24,ticker:PG,open:79.8,close:79.51,adj_close:60.193,shares:
date:2015-06-10,ticker:PG,open:79.23,close:79.54,adj_close:60.2157,shares:
date:2015-12-14,ticker:PG,open:77.63,close:78.29,adj_close:60.2918,shares:2720570000
date:2018-04-25,ticker:PG,open:72.41,close:72.3,adj_close:60.3126,shares:2498099968
date:2015-05-13,ticker:PG,open:80.16,close:79.7,adj_close:60.3368,shares:
date:2018-04-30,ticker:PG,open:72.91,close:72.34,adj_close:60.346,shares:2498099968
date:2015-07-01,ticker:PG,open:78.39,close:79.72,adj_close:60.352,shares:
date:2015-12-07,ticker:PG,open:77.54,close:78.37,adj_close:60.3534,shares:2720570000
date:2016-01-04,ticker:PG,open:78.36,close:78.37,adj_close:60.3534,shares:2720570000
date:2018-05-09,ticker:PG,open:71.77,close:72.37,adj_close:60.371,shares:2498099968
date:2015-06-23,ticker:PG,open:80.33,close:79.79,adj_close:60.405,shares:
date:2018-05-04,ticker:PG,open:71.38,close:72.43,adj_close:60.4211,shares:2498099968
date:2015-04-29,ticker:PG,open:80.0,close:79.85,adj_close:60.4504,shares:
date:2018-04-24,ticker:PG,open:73.06,close:72.5,adj_close:60.4795,shares:2498099968
date:2015-07-02,ticker:PG,open:80.01,close:79.93,adj_close:60.511,shares:
date:2015-05-12,ticker:PG,open:80.03,close:79.95,adj_close:60.5261,shares:
date:2015-05-22,ticker:PG,open:80.24,close:79.95,adj_close:60.5261,shares:
date:2016-01-05,ticker:PG,open:78.44,close:78.62,adj_close:60.5459,shares:2720570000
date:2015-07-06,ticker:PG,open:79.61,close:80.05,adj_close:60.6018,shares:
date:2015-05-05,ticker:PG,open:80.5,close:80.07,adj_close:60.617,shares:
date:2015-06-17,ticker:PG,open:79.2,close:80.08,adj_close:60.6245,shares:
date:2018-04-26,ticker:PG,open:72.57,close:72.75,adj_close:60.688,shares:2498099968
date:2015-05-07,ticker:PG,open:80.37,close:80.2,adj_close:60.7154,shares:
date:2018-04-27,ticker:PG,open:72.53,close:72.81,adj_close:60.7381,shares:2498099968
