date:2015-03-25,ticker:T,open:24.9396,close:24.6375,adj_close:11.6782,shares:
date:2015-03-11,ticker:T,open:24.8338,close:24.6375,adj_close:11.6782,shares:
date:2015-03-31,ticker:T,open:24.9018,close:24.6601,adj_close:11.6889,shares:
date:2015-01-28,ticker:T,open:25.2795,close:24.6828,adj_close:11.6996,shares:
date:2015-03-27,ticker:T,open:24.8792,close:24.7356,adj_close:11.7247,shares:
date:2015-03-13,ticker:T,open:24.9169,close:24.7432,adj_close:11.7283,shares:
date:2015-03-10,ticker:T,open:25.1208,close:24.7583,adj_close:11.7354,shares:
date:2015-01-27,ticker:T,open:24.9924,close:24.781,adj_close:11.7462,shares:
date:2015-03-26,ticker:T,open:24.645,close:24.7885,adj_close:11.7498,shares:
date:2015-04-01,ticker:T,open:24.6375,close:24.8414,adj_close:11.7748,shares:
date:2015-03-17,ticker:T,open:24.8112,close:24.8489,adj_close:11.7784,shares:
date:2015-01-30,ticker:T,open:24.7508,close:24.864,adj_close:11.7856,shares:
date:2015-01-05,ticker:T,open:25.5816,close:25.3399,adj_close:11.7887,shares:
date:2015-01-29,ticker:T,open:24.6828,close:24.8943,adj_close:11.7999,shares:
date:2015-03-30,ticker:T,open:24.7885,close:24.9018,adj_close:11.8035,shares:
date:2015-01-06,ticker:T,open:25.506,close:25.3776,adj_close:11.8062,shares:
date:2015-08-25,ticker:T,open:25.0076,close:24.0181,adj_close:11.8077,shares:
date:2015-03-16,ticker:T,open:24.7659,close:24.9698,adj_close:11.8357,shares:
date:2015-03-24,ticker:T,open:25.0982,close:24.9773,adj_close:11.8393,shares:
date:2015-09-28,ticker:T,open:24.3656,close:24.0937,adj_close:11.8449,shares:
date:2015-04-02,ticker:T,open:24.8489,close:25.0227,adj_close:11.8607,shares:
date:2015-03-12,ticker:T,open:24.8036,close:25.0227,adj_close:11.8607,shares:
date:2015-04-17,ticker:T,open:24.6601,close:24.5544,adj_close:11.8614,shares:
date:2015-04-07,ticker:T,open:25.1888,close:25.0453,adj_close:11.8715,shares:
date:2015-01-07,ticker:T,open:25.3625,close:25.0529,adj_close:11.8751,shares:
date:2015-01-26,ticker:T,open:25.1662,close:25.0604,adj_close:11.8786,shares:
date:2015-03-19,ticker:T,open:25.3097,close:25.0755,adj_close:11.8858,shares:
date:2015-03-20,ticker:T,open:25.1284,close:25.0982,adj_close:11.8965,shares:
date:2015-01-02,ticker:T,open:25.3701,close:25.5816,adj_close:11.9011,shares:
