date:2016-02-10,ticker:TSLA,open:10.0333,close:9.578,adj_close:9.578,shares:130951000
date:2016-02-08,ticker:TSLA,open:10.4733,close:9.866,adj_close:9.866,shares:130951000
date:2016-02-09,ticker:TSLA,open:9.488,close:9.8833,adj_close:9.8833,shares:130951000
date:2016-02-11,ticker:TSLA,open:10.1333,close:10.0313,adj_close:10.0313,shares:130951000
date:2016-02-12,ticker:TSLA,open:10.3333,close:10.0693,adj_close:10.0693,shares:130951000
date:2016-02-16,ticker:TSLA,open:10.58,close:10.3447,adj_close:10.3447,shares:130951000
date:2016-02-05,ticker:TSLA,open:11.42,close:10.84,adj_close:10.84,shares:130951000
date:2016-02-19,ticker:TSLA,open:10.9107,close:11.1053,adj_close:11.1053,shares:130951000
date:2016-02-18,ticker:TSLA,open:11.4947,close:11.118,adj_close:11.118,shares:130951000
date:2016-02-17,ticker:TSLA,open:10.6,close:11.2453,adj_close:11.2453,shares:130951000
date:2016-02-03,ticker:TSLA,open:12.2393,close:11.5653,adj_close:11.5653,shares:130951000
date:2016-02-04,ticker:TSLA,open:11.38,close:11.6887,adj_close:11.6887,shares:130951000
date:2016-02-23,ticker:TSLA,open:11.744,close:11.814,adj_close:11.814,shares:130951000
date:2016-02-22,ticker:TSLA,open:11.3413,close:11.8493,adj_close:11.8493,shares:130951000
date:2019-06-03,ticker:TSLA,open:12.3673,close:11.9313,adj_close:11.9313,shares:178190000
date:2016-02-24,ticker:TSLA,open:11.5167,close:11.9333,adj_close:11.9333,shares:132056000
date:2016-11-14,ticker:TSLA,open:12.5333,close:12.0967,adj_close:12.0967,shares:148047000
date:2016-12-02,ticker:TSLA,open:12.192,close:12.098,adj_close:12.098,shares:172170000
date:2016-12-01,ticker:TSLA,open:12.55,close:12.1253,adj_close:12.1253,shares:172170000
date:2016-02-02,ticker:TSLA,open:12.828,close:12.1853,adj_close:12.1853,shares:130951000
date:2016-11-15,ticker:TSLA,open:12.1853,close:12.2513,adj_close:12.2513,shares:148047000
date:2016-11-16,ticker:TSLA,open:12.1767,close:12.262,adj_close:12.262,shares:148047000
date:2016-11-21,ticker:TSLA,open:12.336,close:12.3013,adj_close:12.3013,shares:148047000
date:2015-03-27,ticker:TSLA,open:12.6047,close:12.3333,adj_close:12.3333,shares:
date:2016-11-18,ticker:TSLA,open:12.71,close:12.3347,adj_close:12.3347,shares:148047000
date:2019-05-31,ticker:TSLA,open:12.34,close:12.344,adj_close:12.344,shares:178190000
date:2016-11-10,ticker:TSLA,open:12.7367,close:12.3567,adj_close:12.3567,shares:148047000
date:2016-12-06,ticker:TSLA,open:12.368,close:12.39,adj_close:12.39,shares:172170000
date:2016-03-01,ticker:TSLA,open:12.95,close:12.4233,adj_close:12.4233,shares:132056000
date:2016-12-05,ticker:TSLA,open:12.1673,close:12.4533,adj_close:12.4533,shares:172170000
date:2016-11-03,ticker:TSLA,open:12.6,close:12.4947,adj_close:12.4947,shares:148047000
date:2016-02-25,ticker:TSLA,open:11.91,close:12.4953,adj_close:12.4953,shares:132056000
date:2015-04-01,ticker:TSLA,open:12.58,close:12.506,adj_close:12.506,shares:
date:2016-11-02,ticker:TSLA,open:12.67,close:12.5347,adj_close:12.5347,shares:148047000
date:2016-01-27,ticker:TSLA,open:12.8253,close:12.538,adj_close:12.538,shares:130951000
date:2019-05-30,ticker:TSLA,open:12.5833,close:12.548,adj_close:12.548,shares:178190000
date:2016-03-02,ticker:TSLA,open:12.2487,close:12.556,adj_close:12.556,shares:132056000
date:2016-11-11,ticker:TSLA,open:12.2827,close:12.5707,adj_close:12.5707,shares:148047000
date:2016-11-17,ticker:TSLA,open:12.2327,close:12.5773,adj_close:12.5773,shares:148047000
date:2015-03-13,ticker:TSLA,open:12.5967,close:12.5787,adj_close:12.5787,shares:
date:2019-05-28,ticker:TSLA,open:12.7467,close:12.58,adj_close:12.58,shares:178190000
date:2015-03-31,ticker:TSLA,open:12.902,close:12.5847,adj_close:12.5847,shares:
date:2016-11-30,ticker:TSLA,open:12.7333,close:12.6267,adj_close:12.6267,shares:172170000
date:2016-11-29,ticker:TSLA,open:13.0373,close:12.638,adj_close:12.638,shares:172170000
date:2016-01-28,ticker:TSLA,open:12.7193,close:12.6467,adj_close:12.6467,shares:130951000
date:2019-05-29,ticker:TSLA,open:12.4733,close:12.6573,adj_close:12.6573,shares:178190000
date:2016-11-09,ticker:TSLA,open:12.4587,close:12.6707,adj_close:12.6707,shares:148047000
date:2015-03-10,ticker:TSLA,open:12.564,close:12.688,adj_close:12.688,shares:
date:2016-02-26,ticker:TSLA,open:12.58,close:12.6893,adj_close:12.6893,shares:132056000
date:2015-03-26,ticker:TSLA,open:12.928,close:12.694,adj_close:12.694,shares:
date:2016-11-04,ticker:TSLA,open:12.6,close:12.704,adj_close:12.704,shares:148047000
date:2015-03-30,ticker:TSLA,open:12.39,close:12.7047,adj_close:12.7047,shares:
date:2019-05-24,ticker:TSLA,open:13.322,close:12.7087,adj_close:12.7087,shares:177290000
date:2016-11-01,ticker:TSLA,open:13.2027,close:12.7193,adj_close:12.7193,shares:148047000
date:2015-03-09,ticker:TSLA,open:12.9593,close:12.7253,adj_close:12.7253,shares:
date:2015-04-02,ticker:TSLA,open:12.682,close:12.7333,adj_close:12.7333,shares:
date:2015-03-12,ticker:TSLA,open:12.9167,close:12.738,adj_close:12.738,shares:
date:2016-11-22,ticker:TSLA,open:12.3893,close:12.7447,adj_close:12.7447,shares:172170000
date:2016-01-29,ticker:TSLA,open:12.6633,close:12.7467,adj_close:12.7467,shares:130951000
date:2015-01-15,ticker:TSLA,open:12.966,close:12.7913,adj_close:12.7913,shares:
date:2016-02-29,ticker:TSLA,open:12.8267,close:12.7953,adj_close:12.7953,shares:132056000
date:2015-01-20,ticker:TSLA,open:12.9247,close:12.7953,adj_close:12.7953,shares:
date:2016-12-09,ticker:TSLA,open:12.7247,close:12.812,adj_close:12.812,shares:172170000
date:2016-12-08,ticker:TSLA,open:12.8033,close:12.8193,adj_close:12.8193,shares:172170000
date:2016-12-12,ticker:TSLA,open:12.8533,close:12.8287,adj_close:12.8287,shares:172170000
date:2015-01-14,ticker:TSLA,open:12.3887,close:12.846,adj_close:12.846,shares:
date:2019-05-22,ticker:TSLA,open:13.2733,close:12.8487,adj_close:12.8487,shares:177290000
date:2015-01-16,ticker:TSLA,open:12.7133,close:12.8713,adj_close:12.8713,shares:
date:2016-11-23,ticker:TSLA,open:12.7073,close:12.876,adj_close:12.876,shares:172170000
date:2016-12-07,ticker:TSLA,open:12.41,close:12.8767,adj_close:12.8767,shares:172170000
date:2016-06-24,ticker:TSLA,open:12.67,close:12.8767,adj_close:12.8767,shares:147277000
date:2016-11-07,ticker:TSLA,open:12.906,close:12.8807,adj_close:12.8807,shares:148047000
date:2016-01-26,ticker:TSLA,open:13.1133,close:12.904,adj_close:12.904,shares:130951000
date:2019-06-04,ticker:TSLA,open:12.0733,close:12.9067,adj_close:12.9067,shares:178190000
date:2015-03-11,ticker:TSLA,open:12.7433,close:12.916,adj_close:12.916,shares:
date:2015-03-06,ticker:TSLA,open:13.2807,close:12.9253,adj_close:12.9253,shares:
date:2016-10-17,ticker:TSLA,open:13.1367,close:12.9307,adj_close:12.9307,shares:148047000
date:2015-03-25,ticker:TSLA,open:13.218,close:12.9533,adj_close:12.9533,shares:
date:2016-09-09,ticker:TSLA,open:13.2727,close:12.9647,adj_close:12.9647,shares:148047000
date:2015-03-17,ticker:TSLA,open:13.0287,close:12.982,adj_close:12.982,shares:
date:2016-11-08,ticker:TSLA,open:12.9193,close:12.996,adj_close:12.996,shares:148047000
date:2019-05-23,ticker:TSLA,open:12.956,close:13.0327,adj_close:13.0327,shares:177290000
date:2015-03-19,ticker:TSLA,open:13.4667,close:13.0433,adj_close:13.0433,shares:
date:2015-03-16,ticker:TSLA,open:12.8,close:13.0467,adj_close:13.0467,shares:
date:2016-03-03,ticker:TSLA,open:12.552,close:13.0493,adj_close:13.0493,shares:132056000
date:2016-09-13,ticker:TSLA,open:13.1373,close:13.07,adj_close:13.07,shares:148047000
date:2016-11-28,ticker:TSLA,open:13.032,close:13.0747,adj_close:13.0747,shares:172170000
date:2016-01-25,ticker:TSLA,open:13.3373,close:13.092,adj_close:13.092,shares:130951000
date:2016-06-23,ticker:TSLA,open:13.046,close:13.0933,adj_close:13.0933,shares:147277000
date:2016-09-14,ticker:TSLA,open:13.05,close:13.094,adj_close:13.094,shares:148047000
date:2016-10-14,ticker:TSLA,open:13.3773,close:13.1007,adj_close:13.1007,shares:148047000
date:2015-01-21,ticker:TSLA,open:12.6367,close:13.1047,adj_close:13.1047,shares:
date:2019-06-05,ticker:TSLA,open:13.2453,close:13.106,adj_close:13.106,shares:178190000
date:2016-10-07,ticker:TSLA,open:13.4,close:13.1073,adj_close:13.1073,shares:148047000
date:2016-11-25,ticker:TSLA,open:12.9093,close:13.11,adj_close:13.11,shares:172170000
date:2016-06-22,ticker:TSLA,open:13.298,close:13.1107,adj_close:13.1107,shares:147277000
date:2016-02-01,ticker:TSLA,open:12.584,close:13.1293,adj_close:13.1293,shares:130951000
date:2015-03-02,ticker:TSLA,open:13.5133,close:13.1553,adj_close:13.1553,shares:
