date:2016-02-08,ticker:PFE,open:27.2106,close:27.0968,adj_close:18.4078,shares:6173500000
date:2016-02-04,ticker:PFE,open:27.9791,close:27.5142,adj_close:18.6914,shares:6173500000
date:2016-02-05,ticker:PFE,open:27.5332,close:27.5427,adj_close:18.7107,shares:6173500000
date:2016-03-16,ticker:PFE,open:28.0076,close:27.5522,adj_close:18.7172,shares:6191880000
date:2016-02-09,ticker:PFE,open:27.0114,close:27.6091,adj_close:18.7559,shares:6173500000
date:2016-02-11,ticker:PFE,open:27.5237,close:27.6376,adj_close:18.7752,shares:6173500000
date:2016-03-17,ticker:PFE,open:27.6281,close:27.8368,adj_close:18.9105,shares:6191880000
date:2016-03-08,ticker:PFE,open:28.2258,close:27.8558,adj_close:18.9234,shares:6173500000
date:2016-02-12,ticker:PFE,open:27.7514,close:27.8558,adj_close:18.9234,shares:6173500000
date:2016-03-18,ticker:PFE,open:27.9886,close:27.9412,adj_close:18.9814,shares:6191880000
date:2016-02-19,ticker:PFE,open:28.0835,close:27.9791,adj_close:19.0072,shares:6173500000
date:2016-02-10,ticker:PFE,open:27.8273,close:27.9791,adj_close:19.0072,shares:6173500000
date:2016-03-15,ticker:PFE,open:28.3491,close:28.0266,adj_close:19.0395,shares:6173500000
date:2016-02-18,ticker:PFE,open:28.2922,close:28.0361,adj_close:19.0459,shares:6173500000
date:2016-03-10,ticker:PFE,open:28.3681,close:28.074,adj_close:19.0717,shares:6173500000
date:2016-02-17,ticker:PFE,open:28.463,close:28.112,adj_close:19.0975,shares:6173500000
date:2016-03-31,ticker:PFE,open:28.5199,close:28.1214,adj_close:19.1039,shares:6191880000
date:2016-02-29,ticker:PFE,open:28.5484,close:28.1499,adj_close:19.1232,shares:6173500000
date:2016-02-03,ticker:PFE,open:28.3776,close:28.1499,adj_close:19.1232,shares:6173500000
date:2016-03-04,ticker:PFE,open:28.3207,close:28.1879,adj_close:19.149,shares:6173500000
date:2016-03-09,ticker:PFE,open:28.1973,close:28.2163,adj_close:19.1684,shares:6173500000
date:2016-03-28,ticker:PFE,open:28.5484,close:28.2543,adj_close:19.1941,shares:6191880000
date:2016-03-07,ticker:PFE,open:28.0361,close:28.2638,adj_close:19.2006,shares:6173500000
date:2016-02-16,ticker:PFE,open:28.0361,close:28.2827,adj_close:19.2135,shares:6173500000
date:2016-02-02,ticker:PFE,open:28.6243,close:28.5958,adj_close:19.2328,shares:6173500000
date:2015-01-05,ticker:PFE,open:29.7438,close:29.5636,adj_close:19.2412,shares:
date:2016-02-01,ticker:PFE,open:28.7856,close:28.6243,adj_close:19.252,shares:6173500000
date:2016-03-03,ticker:PFE,open:28.3491,close:28.3586,adj_close:19.265,shares:6173500000
