date:2015-08-25,ticker:TSM,open:19.73,close:18.76,adj_close:14.5872,shares:
date:2015-08-24,ticker:TSM,open:17.74,close:18.76,adj_close:14.5872,shares:
date:2015-08-21,ticker:TSM,open:19.25,close:18.88,adj_close:14.6805,shares:
date:2015-09-01,ticker:TSM,open:19.35,close:19.41,adj_close:15.0926,shares:
date:2015-08-26,ticker:TSM,open:19.34,close:19.45,adj_close:15.1237,shares:
date:2015-08-20,ticker:TSM,open:19.79,close:19.61,adj_close:15.2481,shares:
date:2015-09-28,ticker:TSM,open:19.97,close:19.63,adj_close:15.2637,shares:
date:2015-09-04,ticker:TSM,open:19.7,close:19.67,adj_close:15.2948,shares:
date:2015-09-10,ticker:TSM,open:19.8,close:19.7,adj_close:15.3181,shares:
date:2015-09-09,ticker:TSM,open:20.44,close:19.88,adj_close:15.4581,shares:
date:2015-08-31,ticker:TSM,open:20.16,close:19.88,adj_close:15.4581,shares:
date:2015-09-29,ticker:TSM,open:19.62,close:19.89,adj_close:15.4658,shares:
date:2015-09-11,ticker:TSM,open:19.74,close:19.9,adj_close:15.4736,shares:
date:2015-08-19,ticker:TSM,open:20.0,close:19.91,adj_close:15.4814,shares:
date:2015-09-02,ticker:TSM,open:19.7,close:19.94,adj_close:15.5047,shares:
date:2015-08-27,ticker:TSM,open:19.62,close:19.94,adj_close:15.5047,shares:
date:2015-09-22,ticker:TSM,open:20.17,close:19.95,adj_close:15.5125,shares:
date:2015-09-24,ticker:TSM,open:19.89,close:19.99,adj_close:15.5436,shares:
date:2015-08-28,ticker:TSM,open:19.63,close:20.0,adj_close:15.5514,shares:
date:2015-09-23,ticker:TSM,open:19.65,close:20.01,adj_close:15.5591,shares:
date:2015-08-18,ticker:TSM,open:20.18,close:20.03,adj_close:15.5747,shares:
date:2015-09-14,ticker:TSM,open:19.99,close:20.04,adj_close:15.5825,shares:
date:2015-09-25,ticker:TSM,open:20.16,close:20.05,adj_close:15.5902,shares:
date:2015-09-08,ticker:TSM,open:19.96,close:20.05,adj_close:15.5902,shares:
date:2015-09-03,ticker:TSM,open:20.15,close:20.07,adj_close:15.6058,shares:
date:2015-01-12,ticker:TSM,open:21.06,close:20.79,adj_close:15.6676,shares:
date:2015-08-17,ticker:TSM,open:19.9,close:20.28,adj_close:15.7691,shares:
date:2015-08-14,ticker:TSM,open:20.37,close:20.38,adj_close:15.8468,shares:
date:2015-09-15,ticker:TSM,open:20.16,close:20.39,adj_close:15.8546,shares:
date:2015-01-13,ticker:TSM,open:21.02,close:21.05,adj_close:15.8635,shares:
date:2015-01-14,ticker:TSM,open:20.65,close:21.06,adj_close:15.8711,shares:
date:2016-01-13,ticker:TSM,open:20.9,close:20.48,adj_close:15.9246,shares:
date:2015-09-21,ticker:TSM,open:20.53,close:20.53,adj_close:15.9635,shares:
date:2015-08-13,ticker:TSM,open:20.55,close:20.54,adj_close:15.9713,shares:
date:2015-01-09,ticker:TSM,open:21.62,close:21.2,adj_close:15.9766,shares:
date:2015-09-18,ticker:TSM,open:20.53,close:20.61,adj_close:16.0257,shares:
date:2015-09-17,ticker:TSM,open:20.58,close:20.66,adj_close:16.0646,shares:
date:2015-09-16,ticker:TSM,open:20.71,close:20.67,adj_close:16.0723,shares:
date:2015-01-06,ticker:TSM,open:21.32,close:21.36,adj_close:16.0972,shares:
date:2015-08-12,ticker:TSM,open:20.53,close:20.75,adj_close:16.1345,shares:
date:2015-09-30,ticker:TSM,open:20.36,close:20.75,adj_close:16.1345,shares:
date:2016-01-12,ticker:TSM,open:21.23,close:20.75,adj_close:16.1345,shares:
date:2015-10-02,ticker:TSM,open:20.21,close:20.76,adj_close:16.1423,shares:
date:2016-01-08,ticker:TSM,open:21.27,close:20.81,adj_close:16.1812,shares:
date:2015-08-11,ticker:TSM,open:21.0,close:20.83,adj_close:16.1967,shares:
date:2015-10-01,ticker:TSM,open:20.95,close:20.86,adj_close:16.2201,shares:
date:2016-01-11,ticker:TSM,open:21.17,close:20.93,adj_close:16.2745,shares:
date:2015-01-07,ticker:TSM,open:21.59,close:21.67,adj_close:16.3308,shares:
date:2015-08-07,ticker:TSM,open:21.26,close:21.03,adj_close:16.3523,shares:
date:2015-01-05,ticker:TSM,open:22.14,close:21.74,adj_close:16.3835,shares:
date:2016-01-20,ticker:TSM,open:20.84,close:21.09,adj_close:16.3989,shares:
date:2016-01-15,ticker:TSM,open:20.56,close:21.1,adj_close:16.4067,shares:
date:2016-01-07,ticker:TSM,open:20.88,close:21.1,adj_close:16.4067,shares:
date:2015-01-08,ticker:TSM,open:21.69,close:21.81,adj_close:16.4363,shares:
date:2015-10-06,ticker:TSM,open:21.06,close:21.23,adj_close:16.5078,shares:
date:2015-08-06,ticker:TSM,open:21.42,close:21.28,adj_close:16.5467,shares:
date:2016-01-21,ticker:TSM,open:21.15,close:21.33,adj_close:16.5855,shares:
date:2016-01-06,ticker:TSM,open:21.66,close:21.34,adj_close:16.5933,shares:
date:2015-10-05,ticker:TSM,open:21.06,close:21.4,adj_close:16.64,shares:
date:2015-08-04,ticker:TSM,open:21.83,close:21.45,adj_close:16.6788,shares:
date:2016-01-26,ticker:TSM,open:21.78,close:21.59,adj_close:16.7877,shares:
date:2015-01-02,ticker:TSM,open:22.45,close:22.28,adj_close:16.7905,shares:
date:2015-08-05,ticker:TSM,open:21.55,close:21.61,adj_close:16.8032,shares:
date:2015-08-10,ticker:TSM,open:21.12,close:21.61,adj_close:16.8032,shares:
date:2016-01-28,ticker:TSM,open:21.78,close:21.63,adj_close:16.8188,shares:
date:2015-07-27,ticker:TSM,open:21.57,close:21.63,adj_close:16.8188,shares:
date:2015-07-24,ticker:TSM,open:22.06,close:21.64,adj_close:16.8266,shares:
date:2016-01-19,ticker:TSM,open:21.63,close:21.66,adj_close:16.8421,shares:
date:2016-01-27,ticker:TSM,open:21.72,close:21.68,adj_close:16.8577,shares:
date:2015-08-03,ticker:TSM,open:21.9,close:21.72,adj_close:16.8888,shares:
date:2016-01-25,ticker:TSM,open:21.71,close:21.79,adj_close:16.9432,shares:
date:2015-10-29,ticker:TSM,open:21.81,close:21.82,adj_close:16.9665,shares:
date:2016-01-14,ticker:TSM,open:20.73,close:21.82,adj_close:16.9665,shares:
date:2015-07-28,ticker:TSM,open:21.71,close:21.88,adj_close:17.0132,shares:
date:2015-11-13,ticker:TSM,open:22.07,close:21.89,adj_close:17.021,shares:
date:2015-01-16,ticker:TSM,open:22.37,close:22.6,adj_close:17.0317,shares:
date:2016-01-22,ticker:TSM,open:21.76,close:21.93,adj_close:17.0521,shares:
date:2015-10-07,ticker:TSM,open:21.68,close:21.93,adj_close:17.0521,shares:
date:2015-10-13,ticker:TSM,open:21.82,close:21.94,adj_close:17.0599,shares:
date:2016-01-05,ticker:TSM,open:22.18,close:21.95,adj_close:17.0676,shares:
date:2015-10-09,ticker:TSM,open:22.31,close:21.95,adj_close:17.0676,shares:
date:2015-10-15,ticker:TSM,open:22.55,close:21.95,adj_close:17.0676,shares:
date:2015-06-08,ticker:TSM,open:22.87,close:22.65,adj_close:17.0693,shares:
date:2015-10-30,ticker:TSM,open:21.84,close:21.96,adj_close:17.0754,shares:
date:2015-02-09,ticker:TSM,open:22.92,close:22.67,adj_close:17.0844,shares:
date:2016-02-11,ticker:TSM,open:22.16,close:22.0,adj_close:17.1065,shares:
date:2015-01-30,ticker:TSM,open:22.99,close:22.71,adj_close:17.1145,shares:
date:2015-10-28,ticker:TSM,open:22.07,close:22.08,adj_close:17.1687,shares:
date:2016-01-04,ticker:TSM,open:22.24,close:22.09,adj_close:17.1765,shares:
date:2015-10-12,ticker:TSM,open:22.07,close:22.09,adj_close:17.1765,shares:
date:2015-11-02,ticker:TSM,open:21.86,close:22.1,adj_close:17.1843,shares:
date:2015-07-29,ticker:TSM,open:21.82,close:22.11,adj_close:17.192,shares:
date:2015-07-31,ticker:TSM,open:22.55,close:22.11,adj_close:17.192,shares:
date:2015-06-09,ticker:TSM,open:22.87,close:22.83,adj_close:17.205,shares:
date:2015-06-05,ticker:TSM,open:22.82,close:22.86,adj_close:17.2276,shares:
date:2015-10-26,ticker:TSM,open:22.47,close:22.16,adj_close:17.2309,shares:
date:2015-10-16,ticker:TSM,open:22.01,close:22.16,adj_close:17.2309,shares:
