date:2015-01-28,ticker:V,open:63.1325,close:61.59,adj_close:57.2354,shares:
date:2015-01-29,ticker:V,open:61.8825,close:62.0,adj_close:57.6165,shares:
date:2015-01-27,ticker:V,open:63.4475,close:62.7475,adj_close:58.3111,shares:
date:2015-01-15,ticker:V,open:64.1775,close:63.2825,adj_close:58.8083,shares:
date:2015-01-30,ticker:V,open:65.1,close:63.7275,adj_close:59.2218,shares:
date:2015-01-16,ticker:V,open:62.975,close:63.7375,adj_close:59.2311,shares:
date:2015-02-02,ticker:V,open:64.0775,close:63.835,adj_close:59.3217,shares:
date:2015-01-14,ticker:V,open:64.16,close:63.89,adj_close:59.3728,shares:
date:2015-01-26,ticker:V,open:64.235,close:64.1325,adj_close:59.5982,shares:
date:2015-01-20,ticker:V,open:64.055,close:64.21,adj_close:59.6702,shares:
date:2015-01-21,ticker:V,open:64.04,close:64.32,adj_close:59.7724,shares:
date:2015-01-06,ticker:V,open:64.9475,close:64.375,adj_close:59.8235,shares:
date:2015-01-22,ticker:V,open:63.8625,close:64.4,adj_close:59.8468,shares:
date:2015-01-23,ticker:V,open:64.63,close:64.5725,adj_close:60.0071,shares:
date:2015-04-17,ticker:V,open:65.1,close:64.52,adj_close:60.0673,shares:
date:2015-01-05,ticker:V,open:65.8725,close:64.7925,adj_close:60.2115,shares:
date:2015-04-20,ticker:V,open:65.0,close:64.72,adj_close:60.2535,shares:
date:2015-02-03,ticker:V,open:64.1775,close:64.9475,adj_close:60.3556,shares:
date:2015-01-12,ticker:V,open:65.26,close:65.005,adj_close:60.409,shares:
date:2015-01-09,ticker:V,open:65.9025,close:65.1325,adj_close:60.5275,shares:
date:2015-01-13,ticker:V,open:65.505,close:65.195,adj_close:60.5856,shares:
date:2015-01-07,ticker:V,open:64.61,close:65.2375,adj_close:60.6251,shares:
date:2015-04-01,ticker:V,open:65.45,close:65.18,adj_close:60.6817,shares:
date:2015-04-06,ticker:V,open:64.73,close:65.2,adj_close:60.7004,shares:
date:2015-04-02,ticker:V,open:64.99,close:65.29,adj_close:60.7841,shares:
date:2015-04-21,ticker:V,open:65.03,close:65.35,adj_close:60.84,shares:
date:2015-03-31,ticker:V,open:65.47,close:65.41,adj_close:60.8959,shares:
date:2015-04-14,ticker:V,open:65.52,close:65.53,adj_close:61.0076,shares:
date:2015-03-27,ticker:V,open:65.52,close:65.54,adj_close:61.0169,shares:
date:2015-05-04,ticker:V,open:66.05,close:65.58,adj_close:61.0541,shares:
date:2015-03-26,ticker:V,open:65.25,close:65.59,adj_close:61.0634,shares:
date:2015-04-13,ticker:V,open:66.22,close:65.61,adj_close:61.0821,shares:
date:2015-04-16,ticker:V,open:65.53,close:65.65,adj_close:61.1193,shares:
date:2015-03-30,ticker:V,open:66.02,close:65.66,adj_close:61.1286,shares:
date:2015-05-06,ticker:V,open:66.15,close:65.67,adj_close:61.1379,shares:
date:2015-04-15,ticker:V,open:65.6,close:65.68,adj_close:61.1472,shares:
date:2015-03-25,ticker:V,open:67.1,close:65.73,adj_close:61.1938,shares:
date:2015-05-01,ticker:V,open:65.22,close:65.77,adj_close:61.231,shares:
date:2015-04-07,ticker:V,open:65.38,close:65.8,adj_close:61.2589,shares:
date:2015-05-05,ticker:V,open:65.77,close:65.96,adj_close:61.4079,shares:
date:2015-01-08,ticker:V,open:65.8,close:66.1125,adj_close:61.4382,shares:
date:2015-02-10,ticker:V,open:66.6875,close:66.1375,adj_close:61.4614,shares:
date:2015-04-30,ticker:V,open:67.18,close:66.05,adj_close:61.4917,shares:
date:2015-02-04,ticker:V,open:64.8975,close:66.2225,adj_close:61.5404,shares:
date:2015-03-17,ticker:V,open:67.015,close:66.125,adj_close:61.5615,shares:
date:2015-01-02,ticker:V,open:65.845,close:66.255,adj_close:61.5706,shares:
date:2015-03-11,ticker:V,open:66.4075,close:66.1875,adj_close:61.6197,shares:
date:2015-02-09,ticker:V,open:66.8525,close:66.365,adj_close:61.6728,shares:
date:2015-03-13,ticker:V,open:67.21,close:66.2575,adj_close:61.6849,shares:
date:2015-03-10,ticker:V,open:67.41,close:66.3,adj_close:61.7244,shares:
date:2015-04-10,ticker:V,open:66.69,close:66.34,adj_close:61.7617,shares:
date:2015-04-09,ticker:V,open:66.57,close:66.44,adj_close:61.8548,shares:
date:2015-02-11,ticker:V,open:66.245,close:66.4975,adj_close:61.9083,shares:
date:2015-04-08,ticker:V,open:65.89,close:66.5,adj_close:61.9106,shares:
date:2015-05-07,ticker:V,open:65.58,close:66.58,adj_close:61.9851,shares:
date:2015-02-06,ticker:V,open:67.9375,close:66.855,adj_close:62.1282,shares:
date:2015-04-28,ticker:V,open:67.31,close:66.77,adj_close:62.162,shares:
date:2015-03-19,ticker:V,open:66.83,close:66.81,adj_close:62.1992,shares:
date:2015-06-29,ticker:V,open:67.99,close:66.72,adj_close:62.2242,shares:
date:2015-07-08,ticker:V,open:67.01,close:66.73,adj_close:62.2335,shares:
date:2015-03-18,ticker:V,open:66.0225,close:66.9175,adj_close:62.2993,shares:
date:2015-03-23,ticker:V,open:68.03,close:67.08,adj_close:62.4506,shares:
date:2015-03-24,ticker:V,open:67.1,close:67.1,adj_close:62.4692,shares:
date:2015-04-27,ticker:V,open:68.39,close:67.1,adj_close:62.4692,shares:
date:2015-07-09,ticker:V,open:67.65,close:67.05,adj_close:62.5319,shares:
date:2015-08-25,ticker:V,open:71.69,close:66.97,adj_close:62.5596,shares:
date:2015-03-16,ticker:V,open:66.7225,close:67.255,adj_close:62.6135,shares:
date:2015-06-30,ticker:V,open:67.34,close:67.15,adj_close:62.6252,shares:
date:2015-02-19,ticker:V,open:67.5175,close:67.275,adj_close:62.6322,shares:
date:2015-02-18,ticker:V,open:67.7175,close:67.28,adj_close:62.6368,shares:
date:2015-03-06,ticker:V,open:68.35,close:67.335,adj_close:62.688,shares:
date:2015-04-29,ticker:V,open:66.86,close:67.34,adj_close:62.6927,shares:
date:2015-03-12,ticker:V,open:66.6,close:67.395,adj_close:62.7439,shares:
date:2015-02-13,ticker:V,open:68.1875,close:67.4075,adj_close:62.7555,shares:
date:2015-03-20,ticker:V,open:67.25,close:67.41,adj_close:62.7578,shares:
date:2015-09-28,ticker:V,open:70.19,close:67.2,adj_close:62.7745,shares:
date:2015-04-24,ticker:V,open:68.13,close:67.48,adj_close:62.823,shares:
date:2015-02-17,ticker:V,open:67.87,close:67.7175,adj_close:63.0441,shares:
date:2015-04-23,ticker:V,open:68.2,close:67.72,adj_close:63.0464,shares:
date:2015-02-12,ticker:V,open:66.905,close:67.7275,adj_close:63.0534,shares:
date:2015-06-08,ticker:V,open:68.19,close:67.68,adj_close:63.1195,shares:
date:2015-02-05,ticker:V,open:66.8125,close:67.95,adj_close:63.1458,shares:
date:2015-02-27,ticker:V,open:68.3675,close:67.8275,adj_close:63.1465,shares:
date:2015-03-09,ticker:V,open:67.63,close:67.855,adj_close:63.1721,shares:
date:2015-07-07,ticker:V,open:68.11,close:67.77,adj_close:63.2034,shares:
date:2015-07-01,ticker:V,open:67.94,close:67.85,adj_close:63.278,shares:
date:2015-04-22,ticker:V,open:65.82,close:68.01,adj_close:63.3164,shares:
date:2015-06-09,ticker:V,open:67.67,close:67.95,adj_close:63.3713,shares:
date:2015-02-24,ticker:V,open:68.4525,close:68.1175,adj_close:63.4165,shares:
date:2016-02-08,ticker:V,open:69.95,close:67.77,adj_close:63.4207,shares:2401460000
date:2015-07-06,ticker:V,open:67.55,close:68.12,adj_close:63.5298,shares:
date:2015-02-20,ticker:V,open:67.26,close:68.25,adj_close:63.5399,shares:
date:2015-02-25,ticker:V,open:67.815,close:68.2525,adj_close:63.5422,shares:
date:2015-02-23,ticker:V,open:68.24,close:68.2525,adj_close:63.5422,shares:
date:2015-06-04,ticker:V,open:68.63,close:68.21,adj_close:63.6137,shares:
date:2015-07-02,ticker:V,open:68.15,close:68.24,adj_close:63.6417,shares:
date:2015-02-26,ticker:V,open:68.3,close:68.4375,adj_close:63.7144,shares:
date:2015-03-04,ticker:V,open:68.7875,close:68.4375,adj_close:63.7144,shares:
date:2015-06-05,ticker:V,open:68.29,close:68.37,adj_close:63.763,shares:
date:2015-03-05,ticker:V,open:68.75,close:68.5325,adj_close:63.8029,shares:
date:2015-07-10,ticker:V,open:67.98,close:68.42,adj_close:63.8096,shares:
date:2015-08-24,ticker:V,open:64.16,close:68.36,adj_close:63.8581,shares:
date:2015-05-26,ticker:V,open:69.31,close:68.54,adj_close:63.9216,shares:
date:2016-02-09,ticker:V,open:66.39,close:68.33,adj_close:63.9448,shares:2401460000
date:2015-05-12,ticker:V,open:68.55,close:68.69,adj_close:63.9495,shares:
date:2015-06-15,ticker:V,open:68.72,close:68.57,adj_close:63.9495,shares:
date:2015-06-25,ticker:V,open:69.38,close:68.62,adj_close:63.9961,shares:
date:2015-09-29,ticker:V,open:67.52,close:68.53,adj_close:64.0169,shares:
date:2015-05-13,ticker:V,open:68.75,close:68.65,adj_close:64.0241,shares:
date:2015-05-29,ticker:V,open:69.33,close:68.68,adj_close:64.0521,shares:
date:2015-06-19,ticker:V,open:69.27,close:68.69,adj_close:64.0614,shares:
date:2015-03-03,ticker:V,open:69.6625,close:68.825,adj_close:64.0752,shares:
date:2016-02-11,ticker:V,open:67.79,close:68.47,adj_close:64.0758,shares:2401460000
date:2015-06-26,ticker:V,open:68.7,close:68.75,adj_close:64.1174,shares:
date:2015-06-17,ticker:V,open:69.11,close:68.75,adj_close:64.1174,shares:
date:2015-06-24,ticker:V,open:69.11,close:68.86,adj_close:64.2199,shares:
date:2015-05-11,ticker:V,open:69.3,close:69.02,adj_close:64.2567,shares:
date:2015-06-03,ticker:V,open:69.26,close:68.95,adj_close:64.3039,shares:
date:2015-06-16,ticker:V,open:68.45,close:69.01,adj_close:64.3598,shares:
date:2015-06-02,ticker:V,open:68.73,close:69.04,adj_close:64.3878,shares:
date:2015-09-01,ticker:V,open:69.41,close:68.96,adj_close:64.4186,shares:
date:2015-06-22,ticker:V,open:69.32,close:69.09,adj_close:64.4345,shares:
date:2015-06-01,ticker:V,open:69.13,close:69.11,adj_close:64.4531,shares:
date:2015-09-04,ticker:V,open:69.29,close:69.16,adj_close:64.6054,shares:
date:2015-06-12,ticker:V,open:69.43,close:69.33,adj_close:64.6583,shares:
date:2015-05-08,ticker:V,open:67.14,close:69.47,adj_close:64.6757,shares:
date:2015-05-21,ticker:V,open:69.55,close:69.37,adj_close:64.6956,shares:
date:2015-06-23,ticker:V,open:69.1,close:69.42,adj_close:64.7422,shares:
date:2015-03-02,ticker:V,open:69.1775,close:69.5725,adj_close:64.7711,shares:
date:2015-05-27,ticker:V,open:68.85,close:69.49,adj_close:64.8075,shares:
date:2015-06-18,ticker:V,open:68.9,close:69.5,adj_close:64.8168,shares:
date:2015-07-13,ticker:V,open:69.05,close:69.52,adj_close:64.8355,shares:
date:2015-05-28,ticker:V,open:69.48,close:69.56,adj_close:64.8728,shares:
date:2016-01-28,ticker:V,open:71.42,close:69.33,adj_close:64.8806,shares:2401460000
date:2015-05-15,ticker:V,open:70.1,close:69.57,adj_close:64.8821,shares:
date:2015-05-22,ticker:V,open:69.3,close:69.62,adj_close:64.9287,shares:
date:2015-06-10,ticker:V,open:68.22,close:69.63,adj_close:64.9381,shares:
date:2015-06-11,ticker:V,open:69.7,close:69.64,adj_close:64.9474,shares:
date:2015-09-09,ticker:V,open:70.75,close:69.6,adj_close:65.0164,shares:
date:2015-09-02,ticker:V,open:69.94,close:69.62,adj_close:65.0351,shares:
date:2015-09-30,ticker:V,open:69.32,close:69.66,adj_close:65.0725,shares:
date:2015-05-20,ticker:V,open:70.25,close:69.78,adj_close:65.078,shares:
date:2015-09-18,ticker:V,open:69.82,close:69.79,adj_close:65.1939,shares:
date:2015-05-14,ticker:V,open:68.96,close:70.0,adj_close:65.2831,shares:
date:2015-05-18,ticker:V,open:69.74,close:70.0,adj_close:65.2831,shares:
date:2015-07-15,ticker:V,open:70.13,close:70.02,adj_close:65.3018,shares:
date:2015-07-14,ticker:V,open:69.97,close:70.1,adj_close:65.3764,shares:
date:2015-10-01,ticker:V,open:70.09,close:69.99,adj_close:65.3808,shares:
date:2015-09-14,ticker:V,open:70.72,close:70.01,adj_close:65.3995,shares:
date:2015-05-19,ticker:V,open:70.14,close:70.16,adj_close:65.4324,shares:
date:2015-09-10,ticker:V,open:69.5,close:70.23,adj_close:65.6049,shares:
date:2015-09-24,ticker:V,open:70.35,close:70.24,adj_close:65.6143,shares:
date:2015-09-22,ticker:V,open:70.0,close:70.25,adj_close:65.6236,shares:
date:2016-02-10,ticker:V,open:69.14,close:70.15,adj_close:65.648,shares:2401460000
date:2015-09-03,ticker:V,open:70.45,close:70.4,adj_close:65.7638,shares:
date:2015-07-16,ticker:V,open:70.43,close:70.57,adj_close:65.8147,shares:
date:2016-03-10,ticker:V,open:71.14,close:70.22,adj_close:65.8431,shares:2401460000
date:2015-09-15,ticker:V,open:70.48,close:70.51,adj_close:65.8665,shares:
date:2015-09-08,ticker:V,open:70.75,close:70.53,adj_close:65.8852,shares:
date:2016-02-12,ticker:V,open:69.44,close:70.42,adj_close:65.9007,shares:2401460000
date:2015-10-02,ticker:V,open:68.8,close:70.67,adj_close:66.016,shares:
date:2015-08-26,ticker:V,open:69.37,close:70.69,adj_close:66.0346,shares:
date:2015-09-25,ticker:V,open:71.19,close:70.69,adj_close:66.0346,shares:
date:2015-09-11,ticker:V,open:69.86,close:70.76,adj_close:66.1,shares:
date:2015-07-17,ticker:V,open:70.4,close:70.88,adj_close:66.1038,shares:
date:2015-09-21,ticker:V,open:70.62,close:70.78,adj_close:66.1187,shares:
