date:2015-09-28,ticker:BABA,open:58.81,close:57.39,adj_close:55.4242,shares:
date:2015-09-29,ticker:BABA,open:57.3,close:57.82,adj_close:55.8395,shares:
date:2015-10-01,ticker:BABA,open:59.5,close:58.87,adj_close:56.8535,shares:
date:2015-09-30,ticker:BABA,open:58.87,close:58.97,adj_close:56.9501,shares:
date:2015-09-25,ticker:BABA,open:60.63,close:59.24,adj_close:57.2108,shares:
date:2015-09-24,ticker:BABA,open:59.42,close:59.92,adj_close:57.8675,shares:
date:2015-09-23,ticker:BABA,open:61.96,close:60.0,adj_close:57.9448,shares:
date:2016-02-11,ticker:BABA,open:60.25,close:60.57,adj_close:58.4953,shares:
date:2016-02-12,ticker:BABA,open:61.27,close:60.89,adj_close:58.8043,shares:
date:2015-09-08,ticker:BABA,open:65.78,close:60.91,adj_close:58.8236,shares:
date:2016-02-08,ticker:BABA,open:60.9,close:61.1,adj_close:59.0071,shares:
date:2016-02-09,ticker:BABA,open:60.11,close:61.39,adj_close:59.2872,shares:
date:2016-02-10,ticker:BABA,open:61.9,close:61.78,adj_close:59.6638,shares:
date:2015-09-22,ticker:BABA,open:62.94,close:61.9,adj_close:59.7797,shares:
date:2015-09-14,ticker:BABA,open:62.55,close:62.6,adj_close:60.4557,shares:
date:2016-02-05,ticker:BABA,open:64.71,close:62.64,adj_close:60.4944,shares:
date:2022-10-24,ticker:BABA,open:63.39,close:63.15,adj_close:60.9869,shares:2686210048
date:2015-10-02,ticker:BABA,open:58.36,close:63.2,adj_close:61.0352,shares:
date:2022-10-25,ticker:BABA,open:65.08,close:63.22,adj_close:61.0545,shares:2686210048
date:2016-02-03,ticker:BABA,open:65.6,close:63.44,adj_close:61.267,shares:
date:2022-10-31,ticker:BABA,open:63.49,close:63.58,adj_close:61.4022,shares:2714380032
date:2022-10-28,ticker:BABA,open:63.2,close:63.74,adj_close:61.5567,shares:2714380032
date:2015-09-10,ticker:BABA,open:63.52,close:63.83,adj_close:61.6436,shares:
date:2015-09-21,ticker:BABA,open:65.38,close:63.9,adj_close:61.7112,shares:
date:2015-09-04,ticker:BABA,open:65.405,close:63.91,adj_close:61.7209,shares:
date:2015-10-06,ticker:BABA,open:63.72,close:63.92,adj_close:61.7305,shares:
date:2015-10-05,ticker:BABA,open:63.47,close:63.93,adj_close:61.7402,shares:
date:2015-09-09,ticker:BABA,open:62.73,close:64.04,adj_close:61.8464,shares:
date:2015-09-11,ticker:BABA,open:63.37,close:64.63,adj_close:62.4162,shares:
date:2022-11-02,ticker:BABA,open:66.48,close:64.7,adj_close:62.4838,shares:2714380032
date:2015-09-01,ticker:BABA,open:64.38,close:64.83,adj_close:62.6094,shares:
date:2022-11-09,ticker:BABA,open:66.43,close:64.84,adj_close:62.619,shares:2705479936
date:2015-09-15,ticker:BABA,open:61.45,close:64.85,adj_close:62.6287,shares:
date:2016-02-04,ticker:BABA,open:64.33,close:64.86,adj_close:62.6383,shares:
date:2016-02-02,ticker:BABA,open:67.05,close:65.09,adj_close:62.8604,shares:
date:2022-11-03,ticker:BABA,open:63.42,close:65.21,adj_close:62.9763,shares:2714380032
date:2015-09-02,ticker:BABA,open:65.69,close:65.54,adj_close:63.295,shares:
date:2015-09-18,ticker:BABA,open:65.4,close:65.75,adj_close:63.4978,shares:
date:2015-08-24,ticker:BABA,open:58.16,close:65.8,adj_close:63.5461,shares:
date:2022-10-27,ticker:BABA,open:65.44,close:65.84,adj_close:63.5848,shares:2714380032
date:2022-11-01,ticker:BABA,open:68.01,close:65.86,adj_close:63.6041,shares:2714380032
date:2015-09-17,ticker:BABA,open:66.41,close:66.0,adj_close:63.7393,shares:
date:2015-08-31,ticker:BABA,open:69.18,close:66.12,adj_close:63.8552,shares:
date:2015-10-07,ticker:BABA,open:64.84,close:66.28,adj_close:64.0097,shares:
date:2016-02-16,ticker:BABA,open:64.42,close:66.29,adj_close:64.0193,shares:
date:2016-02-17,ticker:BABA,open:67.3,close:66.38,adj_close:64.1063,shares:
date:2015-09-03,ticker:BABA,open:65.821,close:66.47,adj_close:64.1932,shares:
date:2016-02-18,ticker:BABA,open:67.0,close:66.52,adj_close:64.2415,shares:
date:2016-02-25,ticker:BABA,open:65.67,close:66.66,adj_close:64.3767,shares:
date:2016-02-26,ticker:BABA,open:68.09,close:66.91,adj_close:64.6181,shares:
date:2016-01-28,ticker:BABA,open:72.55,close:66.92,adj_close:64.6278,shares:
date:2016-02-23,ticker:BABA,open:68.5,close:66.97,adj_close:64.6761,shares:
date:2016-02-01,ticker:BABA,open:66.5,close:67.03,adj_close:64.734,shares:
date:2016-01-29,ticker:BABA,open:67.98,close:67.03,adj_close:64.734,shares:
date:2016-02-24,ticker:BABA,open:66.17,close:67.23,adj_close:64.9271,shares:
date:2015-09-16,ticker:BABA,open:65.61,close:67.23,adj_close:64.9271,shares:
date:2016-02-19,ticker:BABA,open:66.8,close:67.28,adj_close:64.9754,shares:
date:2015-10-08,ticker:BABA,open:66.04,close:67.7,adj_close:65.381,shares:
date:2022-11-08,ticker:BABA,open:67.62,close:68.13,adj_close:65.7963,shares:2705479936
date:2015-08-21,ticker:BABA,open:69.32,close:68.18,adj_close:65.8446,shares:
